Producator,Model,Arhitectura,Frecventa_MHz,Flash_KB,RAM_KB,EEPROM_KB,Magistrale,Pret_USD,Consum_W,IO_Pins,Tensiune_V,Pachet,An_Lansare,Aplicatie
Nordic Semiconductor,NOR-MCU415000,ARM Cortex-M3,120,512,1,0.0,"Ethernet, CAN",6.31,1.114,44,2.5,BGA,2009,Consumer
Nordic Semiconductor,NOR-MCU415001,RISC-V,32,16,32,2.0,"USB, CAN, PWM, I2C",6.6,1.369,64,1.8,QFN,2013,Medical
Analog Devices,ANA-MCU415002,ARM Cortex-M4,48,128,256,8.0,"Ethernet, SPI, I2C, UART",10.09,1.294,12,1.8,LQFP,2016,Industrial
Analog Devices,ANA-MCU415003,8051,48,256,64,0.0,"PWM, Ethernet, UART, CAN, I2C",0.99,0.825,8,2.5,TSSOP,2011,Consumer
Renesas,REN-MCU415004,RISC-V,120,64,32,2.0,"UART, I2C, Ethernet, PWM, SPI",10.15,0.889,83,5.0,BGA,2021,Industrial
Nordic Semiconductor,NOR-MCU415005,ARM Cortex-M3,32,64,2,2.0,"I2C, CAN, UART, PWM, USB",1.2,1.276,60,2.5,BGA,2020,IoT
Silicon Labs,SIL-MCU415006,ARM Cortex-M7,16,1024,512,2.0,"USB, I2C, UART, Ethernet",10.82,0.036,65,3.3,TSSOP,2023,Automotive
Infineon,INF-MCU415007,ARM Cortex-M0,48,64,128,1.0,"Ethernet, CAN, I2C, PWM, UART",1.49,0.469,12,3.3,SOIC,2012,Consumer
Infineon,INF-MCU415008,MIPS32,72,256,4,8.0,"I2C, USB, CAN",7.65,0.244,27,1.8,BGA,2022,Consumer
Texas Instruments,TEX-MCU415009,MIPS32,8,2048,512,2.0,"Ethernet, USB, I2C, PWM",4.9,0.945,73,5.0,DIP,2006,Consumer
Espressif,ESP-MCU415010,ARM Cortex-M3,200,32,64,0.0,"PWM, Ethernet, I2C, SPI, USB",7.97,1.124,57,3.3,BGA,2009,IoT
Espressif,ESP-MCU415011,8051,200,512,128,1.0,"Ethernet, SPI, PWM, I2C",4.21,1.485,70,1.8,LQFP,2013,Consumer
Silicon Labs,SIL-MCU415012,MIPS32,32,512,128,0.5,"UART, Ethernet",3.07,0.448,26,1.8,QFN,2020,Consumer
NXP,NXP-MCU415013,RISC-V,16,128,128,8.0,"Ethernet, SPI, PWM",9.21,0.406,84,1.8,SOIC,2015,Medical
Nordic Semiconductor,NOR-MCU415014,ARM Cortex-M4,32,256,2,4.0,"CAN, PWM, Ethernet",1.57,0.637,66,3.3,QFN,2008,Medical
Texas Instruments,TEX-MCU415015,AVR 8-bit,32,512,64,4.0,"CAN, USB, SPI",1.41,0.096,97,1.8,LQFP,2016,IoT
Texas Instruments,TEX-MCU415016,MIPS32,120,128,2,0.0,"I2C, PWM, Ethernet",2.54,0.127,30,2.5,SOIC,2021,Consumer
Infineon,INF-MCU415017,ARM Cortex-M3,168,256,256,0.5,"Ethernet, I2C, USB, UART, SPI",3.64,1.282,60,5.0,QFN,2007,Industrial
NXP,NXP-MCU415018,MIPS32,240,256,4,1.0,"SPI, Ethernet",7.44,0.484,15,1.8,BGA,2019,Medical
STMicroelectronics,STM-MCU415019,ARM Cortex-M3,480,256,2,8.0,"I2C, USB, Ethernet, CAN",4.52,0.586,14,3.3,SOIC,2023,Medical
Texas Instruments,TEX-MCU415020,ARM Cortex-M3,48,32,8,8.0,"USB, I2C, SPI",5.5,1.325,39,3.3,BGA,2020,Automotive
STMicroelectronics,STM-MCU415021,MIPS32,480,1024,32,4.0,"I2C, SPI",11.54,1.269,85,2.5,LQFP,2010,Wearable
Espressif,ESP-MCU415022,AVR 8-bit,16,16,8,2.0,"USB, PWM, Ethernet, UART",11.65,0.267,55,2.5,BGA,2024,Wearable
Silicon Labs,SIL-MCU415023,RISC-V,8,32,8,0.5,"UART, I2C",0.81,0.988,17,5.0,BGA,2015,Automotive
Espressif,ESP-MCU415024,ARM Cortex-M4,8,2048,2,0.0,"USB, Ethernet",10.01,0.318,47,3.3,QFN,2020,IoT
Renesas,REN-MCU415025,RISC-V,120,2048,2,0.5,"PWM, SPI, USB, Ethernet, I2C",7.1,0.88,47,1.8,TSSOP,2020,Wearable
Silicon Labs,SIL-MCU415026,RISC-V,48,32,512,4.0,"UART, Ethernet",6.45,0.777,15,3.3,TSSOP,2006,IoT
STMicroelectronics,STM-MCU415027,ARM Cortex-M0,240,128,512,8.0,"UART, USB, PWM, SPI, I2C",8.45,0.059,30,2.5,TSSOP,2007,IoT
STMicroelectronics,STM-MCU415028,ARM Cortex-M7,72,2048,32,4.0,"Ethernet, SPI",3.2,0.032,70,3.3,QFN,2016,Wearable
Texas Instruments,TEX-MCU415029,ARM Cortex-M3,16,32,8,0.5,"PWM, SPI",8.56,0.394,40,3.3,DIP,2020,IoT
Texas Instruments,TEX-MCU415030,RISC-V,32,256,256,2.0,"Ethernet, CAN, PWM",5.73,0.49,50,3.3,BGA,2011,IoT
Infineon,INF-MCU415031,ARM Cortex-M4,480,1024,16,4.0,"CAN, SPI, Ethernet, USB, PWM",5.52,0.481,94,3.3,TSSOP,2018,Wearable
Texas Instruments,TEX-MCU415032,MIPS32,32,32,64,4.0,"I2C, USB, Ethernet",4.63,1.228,19,2.5,TSSOP,2020,Industrial
STMicroelectronics,STM-MCU415033,ARM Cortex-M4,72,32,512,0.5,"PWM, CAN, UART",6.91,0.371,20,2.5,SOIC,2012,Wearable
Espressif,ESP-MCU415034,8051,16,256,16,2.0,"Ethernet, PWM",3.76,0.055,81,1.8,QFN,2015,Wearable
Infineon,INF-MCU415035,MIPS32,72,128,4,8.0,"Ethernet, SPI",9.52,0.135,23,2.5,DIP,2007,Consumer
STMicroelectronics,STM-MCU415036,RISC-V,168,2048,128,0.5,"Ethernet, PWM, UART, USB, CAN",7.43,0.851,70,3.3,TSSOP,2020,Medical
Espressif,ESP-MCU415037,ARM Cortex-M4,168,256,128,1.0,"I2C, CAN, Ethernet",10.24,0.074,18,1.8,SOIC,2021,Automotive
STMicroelectronics,STM-MCU415038,MIPS32,32,128,256,2.0,"PWM, I2C, UART, Ethernet",1.73,0.349,56,1.8,DIP,2011,Medical
Analog Devices,ANA-MCU415039,ARM Cortex-M3,200,32,8,4.0,"PWM, Ethernet, SPI, CAN",1.43,0.841,67,3.3,TSSOP,2023,Medical
Renesas,REN-MCU415040,MIPS32,8,64,16,0.5,"SPI, UART",2.26,0.894,76,5.0,DIP,2017,Wearable
Renesas,REN-MCU415041,RISC-V,480,256,2,8.0,"CAN, PWM",0.87,1.048,26,2.5,LQFP,2010,Consumer
NXP,NXP-MCU415042,AVR 8-bit,16,128,1,0.0,"PWM, USB",7.9,0.613,32,2.5,DIP,2014,Medical
Nordic Semiconductor,NOR-MCU415043,ARM Cortex-M7,480,32,16,1.0,"I2C, CAN, Ethernet, UART",4.14,0.295,31,5.0,DIP,2008,Industrial
Analog Devices,ANA-MCU415044,ARM Cortex-M0,48,256,512,0.5,"PWM, USB, CAN, UART",3.92,0.972,34,3.3,DIP,2005,Industrial
Microchip,MIC-MCU415045,MIPS32,240,2048,32,4.0,"USB, SPI, PWM, Ethernet",11.37,0.422,25,2.5,SOIC,2005,Medical
STMicroelectronics,STM-MCU415046,ARM Cortex-M3,8,128,4,4.0,"PWM, Ethernet, UART, CAN",2.32,0.881,6,1.8,BGA,2009,IoT
Texas Instruments,TEX-MCU415047,ARM Cortex-M3,200,256,2,8.0,"PWM, I2C, USB, CAN",11.5,1.19,72,5.0,DIP,2021,IoT
Nordic Semiconductor,NOR-MCU415048,ARM Cortex-M0,240,128,4,8.0,"CAN, USB, I2C, UART",4.33,0.884,95,1.8,TSSOP,2022,Industrial
STMicroelectronics,STM-MCU415049,8051,200,128,8,0.0,"PWM, UART, USB",8.3,0.607,20,1.8,QFN,2014,Medical
Nordic Semiconductor,NOR-MCU415050,MIPS32,120,16,128,8.0,"USB, PWM, I2C, SPI, UART",4.97,0.206,22,3.3,QFN,2015,Consumer
NXP,NXP-MCU415051,AVR 8-bit,120,2048,16,2.0,"UART, I2C",4.83,0.829,47,1.8,QFN,2018,Wearable
Analog Devices,ANA-MCU415052,8051,32,16,256,2.0,"USB, SPI, UART, I2C",2.61,0.833,82,5.0,BGA,2023,Industrial
Microchip,MIC-MCU415053,ARM Cortex-M0,16,1024,2,2.0,"Ethernet, PWM, UART, SPI",4.43,1.387,12,1.8,BGA,2024,Industrial
Texas Instruments,TEX-MCU415054,ARM Cortex-M0,8,2048,512,4.0,"SPI, I2C, USB",2.66,0.73,64,5.0,SOIC,2014,IoT
STMicroelectronics,STM-MCU415055,AVR 8-bit,480,128,1,0.0,"USB, Ethernet, UART, I2C",6.15,0.323,60,3.3,DIP,2011,Consumer
Espressif,ESP-MCU415056,ARM Cortex-M4,48,64,128,4.0,"PWM, UART",4.95,0.021,38,3.3,DIP,2018,Consumer
Renesas,REN-MCU415057,ARM Cortex-M7,8,64,4,0.5,"CAN, UART, I2C, PWM, Ethernet",10.97,0.896,93,3.3,QFN,2007,Medical
NXP,NXP-MCU415058,ARM Cortex-M4,72,128,512,0.5,"Ethernet, PWM, USB, UART, SPI",10.7,1.16,83,1.8,SOIC,2018,Automotive
Microchip,MIC-MCU415059,ARM Cortex-M0,16,32,8,2.0,"PWM, Ethernet",10.97,1.059,96,3.3,BGA,2005,Consumer
Texas Instruments,TEX-MCU415060,ARM Cortex-M4,8,128,128,0.5,"USB, CAN, PWM",11.91,1.278,91,1.8,LQFP,2019,Industrial
Texas Instruments,TEX-MCU415061,RISC-V,72,64,32,2.0,"UART, SPI, PWM, CAN, I2C",0.68,1.247,70,1.8,DIP,2013,Automotive
STMicroelectronics,STM-MCU415062,8051,240,64,16,0.5,"USB, CAN",11.07,0.24,21,2.5,DIP,2013,IoT
Infineon,INF-MCU415063,ARM Cortex-M4,200,64,256,2.0,"USB, SPI",3.16,0.67,9,1.8,LQFP,2005,IoT
Texas Instruments,TEX-MCU415064,MIPS32,200,512,8,0.5,"SPI, USB, UART, CAN, Ethernet",0.75,0.403,96,1.8,DIP,2005,Automotive
STMicroelectronics,STM-MCU415065,AVR 8-bit,168,64,64,0.0,"I2C, SPI, CAN, USB, UART",6.44,0.906,9,1.8,SOIC,2022,Medical
STMicroelectronics,STM-MCU415066,ARM Cortex-M3,120,128,32,4.0,"I2C, Ethernet, CAN",5.11,1.233,48,3.3,SOIC,2023,IoT
NXP,NXP-MCU415067,ARM Cortex-M0,240,256,256,2.0,"Ethernet, UART, I2C",4.32,1.13,76,1.8,QFN,2016,Industrial
NXP,NXP-MCU415068,AVR 8-bit,480,16,2,4.0,"CAN, Ethernet, PWM",2.06,0.031,90,2.5,TSSOP,2022,IoT
Infineon,INF-MCU415069,AVR 8-bit,480,16,4,0.5,"I2C, UART, Ethernet, USB, SPI",7.1,0.994,9,3.3,QFN,2020,Consumer
Analog Devices,ANA-MCU415070,RISC-V,32,256,512,4.0,"PWM, Ethernet, SPI, UART, USB",8.8,0.671,86,5.0,QFN,2016,Automotive
NXP,NXP-MCU415071,MIPS32,16,16,128,8.0,"I2C, CAN",3.97,0.474,35,5.0,QFN,2014,Medical
