Producator,Model,Arhitectura,Frecventa_MHz,Flash_KB,RAM_KB,EEPROM_KB,Magistrale,Pret_USD,Consum_W,IO_Pins,Tensiune_V,Pachet,An_Lansare,Aplicatie
Infineon,INF-MCU270000,ARM Cortex-M0,16,512,8,0.0,"PWM, SPI, I2C, UART, CAN",6.27,0.704,52,2.5,TSSOP,2011,Industrial
Nordic Semiconductor,NOR-MCU270001,ARM Cortex-M3,8,128,512,1.0,"SPI, USB, PWM, Ethernet, UART",3.94,0.473,42,5.0,QFN,2014,Automotive
Infineon,INF-MCU270002,RISC-V,240,32,2,1.0,"UART, CAN, SPI",9.72,0.37,8,1.8,SOIC,2024,Industrial
Nordic Semiconductor,NOR-MCU270003,AVR 8-bit,16,1024,2,0.0,"I2C, CAN",7.65,0.666,41,3.3,SOIC,2016,Wearable
Analog Devices,ANA-MCU270004,AVR 8-bit,200,128,128,2.0,"CAN, Ethernet, I2C, USB, PWM",4.38,1.473,71,2.5,DIP,2005,IoT
Analog Devices,ANA-MCU270005,ARM Cortex-M3,32,1024,512,0.0,"PWM, CAN, USB",9.45,1.214,68,5.0,SOIC,2009,Medical
NXP,NXP-MCU270006,AVR 8-bit,120,512,128,1.0,"UART, SPI, Ethernet",2.13,0.078,73,5.0,TSSOP,2019,Consumer
Microchip,MIC-MCU270007,ARM Cortex-M3,120,16,32,1.0,"PWM, CAN, Ethernet, SPI",6.97,0.368,15,3.3,QFN,2012,Medical
Silicon Labs,SIL-MCU270008,AVR 8-bit,120,32,32,0.0,"I2C, PWM, CAN, Ethernet",7.8,1.467,43,5.0,LQFP,2016,Medical
NXP,NXP-MCU270009,ARM Cortex-M0,8,512,2,1.0,"PWM, CAN",9.37,1.294,60,2.5,DIP,2023,Industrial
Infineon,INF-MCU270010,AVR 8-bit,72,32,32,1.0,"SPI, I2C, USB",10.04,0.955,30,1.8,BGA,2010,Automotive
Infineon,INF-MCU270011,MIPS32,120,16,512,2.0,"UART, CAN, SPI, I2C",9.07,1.448,44,2.5,QFN,2006,Industrial
STMicroelectronics,STM-MCU270012,ARM Cortex-M7,16,16,128,0.0,"I2C, SPI, UART, CAN",11.03,0.33,18,1.8,QFN,2013,Consumer
STMicroelectronics,STM-MCU270013,ARM Cortex-M0,168,32,256,0.5,"UART, Ethernet, SPI, USB, PWM",1.65,0.332,71,1.8,BGA,2009,Consumer
STMicroelectronics,STM-MCU270014,ARM Cortex-M0,32,256,1,4.0,"SPI, CAN, UART",7.46,0.143,35,5.0,BGA,2023,Consumer
Microchip,MIC-MCU270015,ARM Cortex-M4,8,2048,32,1.0,"CAN, UART, SPI, PWM, USB",11.11,0.935,34,1.8,LQFP,2007,Automotive
Texas Instruments,TEX-MCU270016,AVR 8-bit,72,32,4,4.0,"PWM, USB",6.49,1.431,71,2.5,SOIC,2021,Automotive
Espressif,ESP-MCU270017,ARM Cortex-M7,72,16,512,0.5,"Ethernet, USB, UART",2.49,1.231,20,3.3,LQFP,2008,Industrial
Nordic Semiconductor,NOR-MCU270018,MIPS32,240,512,1,2.0,"I2C, PWM",0.98,0.268,48,2.5,QFN,2011,Automotive
Infineon,INF-MCU270019,ARM Cortex-M0,200,32,8,4.0,"Ethernet, PWM, CAN, USB, SPI",4.75,0.712,75,1.8,TSSOP,2020,IoT
Silicon Labs,SIL-MCU270020,ARM Cortex-M3,168,2048,4,4.0,"SPI, I2C, Ethernet",7.6,0.259,77,2.5,LQFP,2022,Medical
STMicroelectronics,STM-MCU270021,RISC-V,200,128,256,8.0,"USB, SPI",1.73,0.163,72,1.8,LQFP,2015,Wearable
Nordic Semiconductor,NOR-MCU270022,ARM Cortex-M4,16,512,64,2.0,"UART, CAN, USB",5.25,1.21,23,3.3,DIP,2015,IoT
Nordic Semiconductor,NOR-MCU270023,ARM Cortex-M7,48,1024,1,2.0,"PWM, SPI",7.72,0.904,95,5.0,LQFP,2021,Consumer
Texas Instruments,TEX-MCU270024,AVR 8-bit,200,512,8,0.5,"PWM, I2C, Ethernet",8.82,0.74,61,5.0,SOIC,2021,Wearable
Texas Instruments,TEX-MCU270025,ARM Cortex-M3,480,256,4,2.0,"Ethernet, UART, USB",2.16,0.26,85,1.8,SOIC,2007,Consumer
Nordic Semiconductor,NOR-MCU270026,ARM Cortex-M3,120,2048,128,4.0,"USB, CAN, UART, I2C, Ethernet",7.07,1.114,27,3.3,DIP,2023,Consumer
Silicon Labs,SIL-MCU270027,MIPS32,168,64,16,2.0,"SPI, I2C, Ethernet, USB, UART",2.15,0.945,64,3.3,TSSOP,2006,Wearable
Infineon,INF-MCU270028,ARM Cortex-M0,480,128,32,0.0,"Ethernet, UART, CAN",1.37,0.333,50,1.8,DIP,2018,Automotive
Silicon Labs,SIL-MCU270029,8051,240,16,256,0.0,"Ethernet, CAN, PWM",5.5,0.482,28,1.8,TSSOP,2006,Medical
NXP,NXP-MCU270030,MIPS32,120,256,32,0.5,"I2C, CAN",6.17,0.45,7,2.5,BGA,2017,Medical
