Producator,Model,Arhitectura,Frecventa_MHz,Flash_KB,RAM_KB,EEPROM_KB,Magistrale,Pret_USD,Consum_W,IO_Pins,Tensiune_V,Pachet,An_Lansare,Aplicatie
Infineon,INF-MCU160000,ARM Cortex-M7,120,64,256,0.5,"PWM, CAN",5.66,0.964,68,3.3,LQFP,2017,Industrial
Infineon,INF-MCU160001,8051,168,128,128,2.0,"Ethernet, SPI, PWM, UART",7.44,0.448,18,3.3,DIP,2023,Medical
Microchip,MIC-MCU160002,ARM Cortex-M4,8,32,1,0.0,"UART, USB, CAN",5.63,0.811,29,5.0,DIP,2011,Industrial
NXP,NXP-MCU160003,ARM Cortex-M0,32,128,2,0.0,"USB, PWM",4.74,0.697,40,2.5,TSSOP,2022,Consumer
Microchip,MIC-MCU160004,ARM Cortex-M0,72,16,8,0.0,"Ethernet, UART, SPI, I2C, USB",9.24,0.881,19,1.8,LQFP,2017,Consumer
Microchip,MIC-MCU160005,ARM Cortex-M0,32,16,2,2.0,"CAN, SPI, PWM",10.11,0.632,13,1.8,QFN,2008,IoT
STMicroelectronics,STM-MCU160006,RISC-V,72,512,1,8.0,"UART, USB, SPI",7.76,0.631,75,5.0,QFN,2021,Consumer
Nordic Semiconductor,NOR-MCU160007,ARM Cortex-M0,72,256,1,8.0,"USB, PWM, I2C, Ethernet, CAN",2.66,0.458,11,3.3,LQFP,2011,Automotive
STMicroelectronics,STM-MCU160008,RISC-V,120,256,32,8.0,"CAN, PWM, UART, I2C, Ethernet",9.47,0.251,45,2.5,QFN,2019,Medical
Renesas,REN-MCU160009,ARM Cortex-M3,480,256,64,1.0,"Ethernet, I2C, CAN",4.6,0.394,40,2.5,BGA,2009,Industrial
Analog Devices,ANA-MCU160010,8051,72,32,256,2.0,"CAN, Ethernet, I2C, UART",0.58,0.617,85,5.0,QFN,2017,Medical
Microchip,MIC-MCU160011,RISC-V,240,128,512,8.0,"CAN, Ethernet, PWM",9.64,0.891,11,1.8,LQFP,2010,Automotive
NXP,NXP-MCU160012,MIPS32,240,128,256,0.5,"USB, I2C, CAN, SPI",11.26,0.626,12,2.5,DIP,2023,Medical
Espressif,ESP-MCU160013,ARM Cortex-M7,480,256,1,0.5,"SPI, UART, I2C, PWM, CAN",1.54,0.647,99,5.0,DIP,2016,Industrial
NXP,NXP-MCU160014,ARM Cortex-M3,16,512,1,4.0,"CAN, SPI, I2C",6.7,0.806,78,5.0,BGA,2008,Automotive
Espressif,ESP-MCU160015,RISC-V,480,2048,256,0.0,"UART, PWM",11.26,1.102,50,3.3,SOIC,2014,Medical
Nordic Semiconductor,NOR-MCU160016,ARM Cortex-M7,480,64,2,0.5,"PWM, CAN, USB, I2C, UART",8.57,1.403,59,1.8,BGA,2018,IoT
Microchip,MIC-MCU160017,ARM Cortex-M3,200,64,4,4.0,"Ethernet, PWM, USB",3.6,0.872,93,1.8,LQFP,2013,Wearable
NXP,NXP-MCU160018,RISC-V,32,2048,16,2.0,"I2C, UART",0.93,0.277,64,3.3,LQFP,2010,Medical
STMicroelectronics,STM-MCU160019,ARM Cortex-M3,200,1024,64,0.5,"SPI, UART",11.12,0.58,74,2.5,LQFP,2010,Medical
NXP,NXP-MCU160020,AVR 8-bit,120,1024,128,2.0,"Ethernet, SPI",3.48,1.115,78,3.3,BGA,2007,Consumer
Microchip,MIC-MCU160021,ARM Cortex-M4,240,2048,4,8.0,"UART, CAN, I2C",2.36,0.453,65,2.5,TSSOP,2015,IoT
NXP,NXP-MCU160022,ARM Cortex-M3,200,64,1,0.0,"Ethernet, USB",6.85,0.879,49,5.0,LQFP,2005,Industrial
Analog Devices,ANA-MCU160023,AVR 8-bit,72,2048,512,0.0,"Ethernet, USB",9.08,0.216,35,3.3,BGA,2022,IoT
Texas Instruments,TEX-MCU160024,AVR 8-bit,16,128,32,0.0,"I2C, SPI",6.43,1.409,48,2.5,QFN,2005,Medical
Nordic Semiconductor,NOR-MCU160025,ARM Cortex-M3,16,32,4,0.5,"Ethernet, USB, SPI, PWM, CAN",11.6,0.517,80,5.0,LQFP,2015,Consumer
Texas Instruments,TEX-MCU160026,ARM Cortex-M3,72,512,4,4.0,"SPI, UART, CAN, USB, PWM",4.26,0.026,29,3.3,BGA,2023,Automotive
Renesas,REN-MCU160027,ARM Cortex-M3,120,32,512,8.0,"I2C, SPI, CAN",0.54,0.616,32,3.3,QFN,2015,Industrial
Analog Devices,ANA-MCU160028,8051,168,256,256,2.0,"Ethernet, I2C",3.7,0.677,6,1.8,SOIC,2013,IoT
Texas Instruments,TEX-MCU160029,ARM Cortex-M0,8,512,16,8.0,"Ethernet, SPI, I2C",7.06,0.971,39,5.0,BGA,2007,Automotive
Espressif,ESP-MCU160030,AVR 8-bit,48,256,2,0.5,"I2C, USB, CAN, Ethernet, SPI",11.0,0.379,63,3.3,SOIC,2020,Wearable
Infineon,INF-MCU160031,RISC-V,480,2048,32,0.5,"USB, I2C, Ethernet, SPI, CAN",7.11,0.985,74,2.5,TSSOP,2017,Consumer
Microchip,MIC-MCU160032,8051,32,1024,128,0.5,"SPI, PWM, Ethernet, I2C, CAN",3.63,0.333,31,3.3,BGA,2018,Medical
Nordic Semiconductor,NOR-MCU160033,ARM Cortex-M0,240,16,2,8.0,"UART, USB, CAN",0.66,1.166,42,3.3,BGA,2012,IoT
Analog Devices,ANA-MCU160034,MIPS32,48,64,512,8.0,"SPI, USB, PWM, I2C, UART",4.61,0.647,58,1.8,TSSOP,2024,Industrial
NXP,NXP-MCU160035,RISC-V,16,512,4,4.0,"Ethernet, SPI, UART, CAN",6.5,1.329,48,2.5,SOIC,2023,IoT
Silicon Labs,SIL-MCU160036,ARM Cortex-M7,16,2048,4,1.0,"I2C, UART, PWM",4.81,0.688,96,1.8,SOIC,2019,Consumer
Infineon,INF-MCU160037,ARM Cortex-M4,32,64,64,4.0,"Ethernet, I2C",4.24,0.224,26,3.3,TSSOP,2016,Industrial
Infineon,INF-MCU160038,ARM Cortex-M0,48,512,16,0.0,"USB, SPI, I2C",7.16,1.037,68,1.8,SOIC,2015,Consumer
Texas Instruments,TEX-MCU160039,ARM Cortex-M3,16,1024,8,0.0,"CAN, UART",9.28,0.137,60,5.0,QFN,2009,Consumer
Texas Instruments,TEX-MCU160040,MIPS32,240,1024,128,1.0,"PWM, I2C",3.37,1.153,50,3.3,BGA,2008,Consumer
Microchip,MIC-MCU160041,8051,168,32,64,4.0,"USB, UART, SPI, PWM, CAN",3.68,0.24,70,3.3,BGA,2023,Consumer
Espressif,ESP-MCU160042,ARM Cortex-M4,32,256,64,2.0,"CAN, UART, Ethernet",3.66,1.408,7,3.3,BGA,2019,IoT
Nordic Semiconductor,NOR-MCU160043,8051,72,64,16,0.5,"UART, SPI, CAN, PWM",3.3,0.675,89,1.8,LQFP,2020,Industrial
STMicroelectronics,STM-MCU160044,8051,72,64,256,0.0,"CAN, UART, I2C, USB, Ethernet",4.26,1.206,44,5.0,DIP,2010,Automotive
Infineon,INF-MCU160045,MIPS32,168,256,256,0.5,"I2C, CAN, UART, PWM",5.98,0.799,83,3.3,DIP,2013,IoT
NXP,NXP-MCU160046,RISC-V,8,2048,32,2.0,"SPI, PWM",7.01,0.141,80,3.3,BGA,2008,Automotive
Texas Instruments,TEX-MCU160047,8051,120,128,4,8.0,"UART, USB, I2C",3.58,1.416,80,5.0,BGA,2017,Medical
Analog Devices,ANA-MCU160048,MIPS32,32,256,64,0.5,"SPI, Ethernet, UART",10.79,1.316,32,1.8,LQFP,2015,Automotive
Infineon,INF-MCU160049,ARM Cortex-M7,168,1024,16,0.5,"Ethernet, SPI, UART, USB, CAN",7.85,0.282,59,5.0,SOIC,2018,Industrial
Infineon,INF-MCU160050,MIPS32,480,32,2,0.0,"PWM, I2C",4.42,1.208,39,5.0,TSSOP,2014,IoT
STMicroelectronics,STM-MCU160051,ARM Cortex-M0,480,256,1,8.0,"Ethernet, USB, SPI, UART, I2C",4.19,0.586,48,1.8,BGA,2015,Industrial
