Producator,Model,Arhitectura,Frecventa_MHz,Flash_KB,RAM_KB,EEPROM_KB,Magistrale,Pret_USD,Consum_W,IO_Pins,Tensiune_V,Pachet,An_Lansare,Aplicatie
Espressif,ESP-MCU70000,RISC-V,168,128,8,0.5,"Ethernet, PWM, CAN",11.81,1.496,86,5.0,QFN,2013,Consumer
Analog Devices,ANA-MCU70001,8051,120,32,16,0.0,"Ethernet, PWM, I2C, UART, SPI",4.5,0.472,60,3.3,SOIC,2014,IoT
Espressif,ESP-MCU70002,AVR 8-bit,480,16,128,4.0,"Ethernet, SPI, CAN, USB",5.01,0.379,84,5.0,BGA,2015,IoT
Renesas,REN-MCU70003,ARM Cortex-M4,120,512,16,0.5,"SPI, PWM, Ethernet, UART, I2C",3.61,0.348,50,1.8,DIP,2017,Consumer
Texas Instruments,TEX-MCU70004,ARM Cortex-M7,32,64,16,0.5,"CAN, USB, I2C",9.96,0.942,86,3.3,SOIC,2016,Automotive
Microchip,MIC-MCU70005,ARM Cortex-M0,240,64,64,8.0,"USB, PWM",4.94,0.483,62,2.5,SOIC,2016,IoT
Silicon Labs,SIL-MCU70006,RISC-V,32,512,64,1.0,"PWM, UART",1.56,0.343,88,2.5,DIP,2022,Medical
Analog Devices,ANA-MCU70007,AVR 8-bit,168,2048,64,2.0,"PWM, UART",3.39,0.167,25,5.0,TSSOP,2007,Consumer
Texas Instruments,TEX-MCU70008,AVR 8-bit,120,256,64,4.0,"UART, CAN, USB, SPI",10.79,0.783,41,3.3,LQFP,2016,Medical
Infineon,INF-MCU70009,MIPS32,48,16,1,8.0,"Ethernet, UART, PWM, SPI",6.09,0.124,87,2.5,TSSOP,2017,Consumer
Espressif,ESP-MCU70010,ARM Cortex-M0,240,256,4,0.0,"Ethernet, CAN, UART",9.03,1.438,8,2.5,SOIC,2009,Medical
Texas Instruments,TEX-MCU70011,ARM Cortex-M7,72,512,16,0.0,"SPI, USB, I2C, UART, Ethernet",10.14,0.934,63,2.5,TSSOP,2023,Industrial
Renesas,REN-MCU70012,ARM Cortex-M3,8,16,1,0.0,"Ethernet, UART, CAN, SPI, USB",4.92,0.472,63,3.3,SOIC,2016,IoT
Analog Devices,ANA-MCU70013,8051,72,1024,32,1.0,"Ethernet, I2C",9.2,0.152,36,2.5,BGA,2022,Wearable
Nordic Semiconductor,NOR-MCU70014,8051,120,512,4,0.5,"UART, PWM",1.87,0.825,11,5.0,QFN,2013,Automotive
Analog Devices,ANA-MCU70015,ARM Cortex-M0,200,32,256,2.0,"Ethernet, CAN",10.68,1.084,70,3.3,DIP,2020,Consumer
Silicon Labs,SIL-MCU70016,ARM Cortex-M3,480,16,512,2.0,"Ethernet, UART, SPI, I2C",8.07,0.366,12,5.0,SOIC,2008,Industrial
Espressif,ESP-MCU70017,ARM Cortex-M3,16,128,8,8.0,"PWM, Ethernet",3.53,0.701,57,1.8,SOIC,2014,Medical
Texas Instruments,TEX-MCU70018,ARM Cortex-M4,168,1024,1,2.0,"CAN, USB, PWM, UART",1.5,0.99,19,1.8,QFN,2014,IoT
Analog Devices,ANA-MCU70019,AVR 8-bit,32,2048,256,1.0,"Ethernet, SPI, UART, CAN",4.58,0.193,57,2.5,DIP,2016,Medical
Renesas,REN-MCU70020,ARM Cortex-M0,16,256,512,4.0,"USB, Ethernet",9.86,0.424,58,1.8,LQFP,2017,Medical
Texas Instruments,TEX-MCU70021,ARM Cortex-M4,168,32,4,4.0,"PWM, I2C",5.06,0.804,61,2.5,LQFP,2023,Wearable
Nordic Semiconductor,NOR-MCU70022,ARM Cortex-M0,200,256,2,8.0,"PWM, SPI",1.12,0.467,27,3.3,DIP,2011,Automotive
Espressif,ESP-MCU70023,8051,120,2048,256,0.0,"Ethernet, UART, USB, CAN, PWM",4.71,0.57,55,2.5,TSSOP,2010,IoT
Renesas,REN-MCU70024,RISC-V,48,512,1,8.0,"CAN, SPI",6.66,0.573,73,5.0,BGA,2005,Industrial
Texas Instruments,TEX-MCU70025,RISC-V,72,16,256,2.0,"Ethernet, PWM, I2C",9.95,1.191,56,3.3,SOIC,2007,Industrial
Microchip,MIC-MCU70026,MIPS32,240,64,16,2.0,"PWM, I2C, UART",9.69,1.325,35,2.5,TSSOP,2012,Industrial
Analog Devices,ANA-MCU70027,ARM Cortex-M4,120,2048,16,1.0,"PWM, UART, Ethernet, SPI, I2C",4.28,0.041,70,5.0,QFN,2023,Consumer
Silicon Labs,SIL-MCU70028,ARM Cortex-M3,48,2048,1,8.0,"PWM, UART",4.53,1.284,16,3.3,DIP,2018,Industrial
Microchip,MIC-MCU70029,8051,120,32,16,8.0,"SPI, UART, CAN",2.32,0.592,15,2.5,QFN,2016,Consumer
STMicroelectronics,STM-MCU70030,MIPS32,72,32,512,4.0,"PWM, UART, USB, I2C",8.36,0.575,59,5.0,BGA,2017,Medical
Infineon,INF-MCU70031,ARM Cortex-M4,16,64,16,4.0,"PWM, CAN",9.89,0.88,99,5.0,SOIC,2023,Wearable
Infineon,INF-MCU70032,ARM Cortex-M7,72,128,256,8.0,"I2C, PWM, USB",4.41,0.381,91,2.5,QFN,2014,Automotive
Microchip,MIC-MCU70033,ARM Cortex-M7,240,1024,256,8.0,"USB, I2C, SPI",9.74,1.173,88,1.8,LQFP,2023,Industrial
Infineon,INF-MCU70034,AVR 8-bit,32,2048,16,1.0,"SPI, USB, I2C",5.62,0.82,66,5.0,QFN,2014,Wearable
Infineon,INF-MCU70035,ARM Cortex-M3,16,512,128,0.0,"CAN, Ethernet",9.22,0.543,16,1.8,LQFP,2024,Industrial
Texas Instruments,TEX-MCU70036,AVR 8-bit,8,512,8,0.0,"UART, Ethernet, USB, PWM",5.7,1.156,67,2.5,BGA,2005,Wearable
Silicon Labs,SIL-MCU70037,MIPS32,48,16,2,4.0,"SPI, CAN",9.13,0.677,71,5.0,SOIC,2016,IoT
Infineon,INF-MCU70038,AVR 8-bit,32,16,1,1.0,"SPI, I2C, UART",6.44,1.119,88,5.0,TSSOP,2011,Medical
STMicroelectronics,STM-MCU70039,AVR 8-bit,240,64,4,0.5,"USB, PWM, SPI, CAN",11.24,0.39,46,3.3,QFN,2013,IoT
Nordic Semiconductor,NOR-MCU70040,AVR 8-bit,48,32,1,1.0,"CAN, Ethernet, I2C, SPI, UART",9.56,0.645,89,2.5,SOIC,2016,Medical
Renesas,REN-MCU70041,ARM Cortex-M4,240,2048,32,8.0,"PWM, CAN, USB",0.95,0.1,16,1.8,QFN,2021,Automotive
Infineon,INF-MCU70042,ARM Cortex-M0,48,2048,1,0.0,"USB, UART",7.57,0.529,7,3.3,SOIC,2017,IoT
Microchip,MIC-MCU70043,ARM Cortex-M0,32,512,256,2.0,"PWM, USB, CAN, Ethernet",9.37,1.461,66,2.5,TSSOP,2016,Automotive
NXP,NXP-MCU70044,RISC-V,8,2048,1,0.0,"Ethernet, SPI, PWM",0.93,0.594,57,3.3,DIP,2009,Industrial
Infineon,INF-MCU70045,ARM Cortex-M0,32,1024,512,0.5,"Ethernet, UART",9.61,0.816,13,3.3,LQFP,2016,Wearable
Microchip,MIC-MCU70046,MIPS32,72,64,64,1.0,"USB, UART",7.04,0.936,42,5.0,QFN,2020,Industrial
Nordic Semiconductor,NOR-MCU70047,AVR 8-bit,240,2048,128,8.0,"CAN, Ethernet, SPI",9.05,1.459,82,2.5,DIP,2020,IoT
Analog Devices,ANA-MCU70048,AVR 8-bit,240,64,8,4.0,"Ethernet, SPI, I2C, PWM",4.04,0.279,72,5.0,QFN,2023,Industrial
NXP,NXP-MCU70049,8051,16,32,256,8.0,"I2C, SPI, CAN, PWM",5.55,1.477,20,1.8,QFN,2010,Medical
Microchip,MIC-MCU70050,ARM Cortex-M7,480,1024,64,4.0,"USB, UART, I2C, CAN, SPI",10.5,1.16,89,3.3,QFN,2014,Wearable
