Producator,Model,Arhitectura,Frecventa_MHz,Flash_KB,RAM_KB,EEPROM_KB,Magistrale,Pret_USD,Consum_W,IO_Pins,Tensiune_V,Pachet,An_Lansare,Aplicatie
Nordic Semiconductor,NOR-MCU205000,ARM Cortex-M4,8,2048,1,0.0,"Ethernet, CAN, USB, SPI",2.61,0.747,41,5.0,BGA,2018,Wearable
Nordic Semiconductor,NOR-MCU205001,ARM Cortex-M4,200,128,4,0.5,"SPI, CAN, Ethernet",11.6,0.99,13,1.8,BGA,2005,Consumer
Infineon,INF-MCU205002,RISC-V,480,128,16,0.5,"CAN, PWM",11.7,0.689,22,3.3,BGA,2008,Consumer
STMicroelectronics,STM-MCU205003,ARM Cortex-M7,120,2048,64,0.5,"SPI, I2C, PWM, UART, USB",10.64,1.194,31,3.3,BGA,2021,Medical
Renesas,REN-MCU205004,ARM Cortex-M3,72,1024,2,1.0,"Ethernet, SPI, UART",8.68,0.036,97,1.8,SOIC,2005,Wearable
Texas Instruments,TEX-MCU205005,ARM Cortex-M0,48,2048,16,0.0,"Ethernet, SPI, USB, PWM",9.22,0.547,72,1.8,QFN,2024,Wearable
Silicon Labs,SIL-MCU205006,ARM Cortex-M4,480,32,1,0.5,"Ethernet, CAN, PWM",4.78,1.127,78,5.0,BGA,2012,Wearable
Texas Instruments,TEX-MCU205007,AVR 8-bit,48,64,32,4.0,"USB, SPI, I2C, Ethernet",11.12,1.166,76,2.5,BGA,2024,Industrial
Espressif,ESP-MCU205008,ARM Cortex-M0,32,64,1,0.5,"USB, CAN",6.52,0.628,94,2.5,LQFP,2019,Consumer
Infineon,INF-MCU205009,ARM Cortex-M3,168,1024,128,0.0,"UART, Ethernet, I2C, PWM, USB",10.63,0.123,30,3.3,DIP,2020,Consumer
Texas Instruments,TEX-MCU205010,ARM Cortex-M3,168,1024,16,4.0,"CAN, UART, USB, PWM",11.41,0.175,72,1.8,QFN,2011,Automotive
Silicon Labs,SIL-MCU205011,AVR 8-bit,480,64,2,8.0,"Ethernet, CAN",6.71,0.96,12,2.5,LQFP,2006,Automotive
Nordic Semiconductor,NOR-MCU205012,ARM Cortex-M0,16,256,512,4.0,"USB, PWM, SPI",8.6,1.104,80,1.8,SOIC,2014,Consumer
NXP,NXP-MCU205013,8051,32,1024,512,4.0,"CAN, USB, I2C, UART, SPI",2.34,0.588,54,3.3,LQFP,2014,Industrial
Nordic Semiconductor,NOR-MCU205014,RISC-V,72,256,512,8.0,"SPI, I2C",2.69,0.204,71,5.0,QFN,2005,IoT
Microchip,MIC-MCU205015,ARM Cortex-M3,8,256,128,0.5,"USB, CAN, I2C, PWM",11.3,0.862,22,5.0,TSSOP,2012,Automotive
Microchip,MIC-MCU205016,ARM Cortex-M0,72,32,512,0.0,"USB, SPI, CAN, Ethernet",10.54,0.622,12,1.8,BGA,2008,IoT
Silicon Labs,SIL-MCU205017,RISC-V,240,1024,2,2.0,"I2C, Ethernet, UART, CAN",11.95,0.642,80,2.5,TSSOP,2022,Industrial
Infineon,INF-MCU205018,MIPS32,200,512,64,1.0,"CAN, USB",9.24,0.183,69,1.8,DIP,2020,Medical
NXP,NXP-MCU205019,ARM Cortex-M3,480,128,16,0.5,"PWM, SPI, UART, CAN, I2C",11.4,1.033,28,5.0,QFN,2009,IoT
Renesas,REN-MCU205020,RISC-V,200,512,4,8.0,"Ethernet, SPI, USB",0.92,0.032,40,1.8,QFN,2006,Industrial
Nordic Semiconductor,NOR-MCU205021,RISC-V,168,256,256,0.0,"I2C, CAN, SPI",2.78,0.087,20,5.0,LQFP,2018,Wearable
Texas Instruments,TEX-MCU205022,ARM Cortex-M4,240,2048,512,8.0,"Ethernet, I2C, SPI",7.22,1.25,14,2.5,LQFP,2021,Medical
Infineon,INF-MCU205023,ARM Cortex-M7,72,1024,1,0.0,"CAN, UART, PWM, USB, I2C",4.5,0.284,89,5.0,LQFP,2024,Consumer
NXP,NXP-MCU205024,ARM Cortex-M0,48,256,2,2.0,"SPI, USB, UART, I2C",9.62,0.494,68,3.3,LQFP,2020,Industrial
Infineon,INF-MCU205025,ARM Cortex-M0,120,2048,4,1.0,"Ethernet, UART, USB, I2C",3.29,1.272,15,2.5,BGA,2017,Automotive
Microchip,MIC-MCU205026,ARM Cortex-M3,32,64,4,0.0,"UART, USB",4.88,0.039,94,1.8,DIP,2024,Wearable
Infineon,INF-MCU205027,ARM Cortex-M3,120,256,1,4.0,"I2C, CAN",11.31,0.703,30,5.0,LQFP,2024,Consumer
STMicroelectronics,STM-MCU205028,ARM Cortex-M0,120,256,4,4.0,"UART, USB, SPI",9.01,1.334,18,5.0,BGA,2011,Medical
Silicon Labs,SIL-MCU205029,8051,200,256,8,2.0,"UART, SPI, PWM",0.6,1.41,27,1.8,BGA,2024,Medical
Infineon,INF-MCU205030,AVR 8-bit,480,1024,4,2.0,"USB, Ethernet",11.99,0.021,29,2.5,SOIC,2009,Consumer
NXP,NXP-MCU205031,ARM Cortex-M7,120,256,128,2.0,"USB, UART",11.76,1.227,64,2.5,QFN,2021,Consumer
Analog Devices,ANA-MCU205032,ARM Cortex-M4,200,2048,128,1.0,"I2C, PWM, USB",8.65,0.509,67,5.0,DIP,2011,Medical
Silicon Labs,SIL-MCU205033,MIPS32,240,64,32,4.0,"USB, PWM",2.29,0.453,13,1.8,QFN,2013,Wearable
STMicroelectronics,STM-MCU205034,MIPS32,480,128,512,0.5,"Ethernet, CAN",1.81,0.494,96,2.5,DIP,2017,IoT
Infineon,INF-MCU205035,AVR 8-bit,72,2048,8,0.5,"SPI, Ethernet",11.65,0.251,43,2.5,QFN,2005,Medical
Nordic Semiconductor,NOR-MCU205036,AVR 8-bit,8,2048,64,2.0,"CAN, USB, SPI",11.51,0.242,31,5.0,SOIC,2006,Industrial
Analog Devices,ANA-MCU205037,ARM Cortex-M4,120,512,128,0.0,"USB, PWM, I2C, Ethernet",9.0,1.192,83,2.5,DIP,2009,Automotive
Microchip,MIC-MCU205038,ARM Cortex-M0,168,512,1,0.0,"SPI, UART, PWM, USB",5.92,1.154,53,2.5,LQFP,2017,Wearable
Infineon,INF-MCU205039,ARM Cortex-M4,168,128,8,2.0,"I2C, PWM, Ethernet, UART, SPI",9.86,0.845,17,3.3,DIP,2021,Industrial
Microchip,MIC-MCU205040,ARM Cortex-M0,240,256,1,0.0,"CAN, USB",2.86,0.548,25,2.5,QFN,2015,Medical
Analog Devices,ANA-MCU205041,MIPS32,32,2048,32,2.0,"Ethernet, SPI, CAN, UART",5.18,0.735,94,1.8,QFN,2020,Automotive
Nordic Semiconductor,NOR-MCU205042,ARM Cortex-M0,480,128,1,2.0,"CAN, USB, Ethernet",7.58,0.453,76,1.8,QFN,2021,Consumer
Texas Instruments,TEX-MCU205043,ARM Cortex-M3,240,512,32,4.0,"CAN, PWM, UART",6.96,0.034,29,5.0,LQFP,2011,Industrial
Infineon,INF-MCU205044,RISC-V,168,64,4,0.0,"CAN, PWM",9.22,0.793,98,2.5,LQFP,2021,Medical
Nordic Semiconductor,NOR-MCU205045,ARM Cortex-M0,480,16,32,8.0,"SPI, UART",6.9,1.214,32,2.5,TSSOP,2007,IoT
Texas Instruments,TEX-MCU205046,ARM Cortex-M7,200,16,2,2.0,"UART, PWM, I2C, USB, CAN",11.9,0.358,84,5.0,BGA,2005,Wearable
Infineon,INF-MCU205047,ARM Cortex-M4,240,512,8,0.5,"USB, I2C, SPI, PWM",9.18,0.16,28,3.3,QFN,2010,Industrial
NXP,NXP-MCU205048,RISC-V,48,32,8,8.0,"USB, I2C, CAN, PWM, UART",6.49,0.541,94,5.0,TSSOP,2007,Medical
Analog Devices,ANA-MCU205049,ARM Cortex-M7,72,16,8,4.0,"CAN, Ethernet",0.75,0.438,66,5.0,DIP,2023,Wearable
STMicroelectronics,STM-MCU205050,RISC-V,168,256,4,0.5,"I2C, PWM, SPI, UART",8.1,0.158,78,5.0,DIP,2009,Medical
Microchip,MIC-MCU205051,ARM Cortex-M3,32,64,8,8.0,"PWM, Ethernet, UART",1.62,1.487,18,3.3,LQFP,2013,Industrial
