Producator,Model,Arhitectura,Frecventa_MHz,Flash_KB,RAM_KB,EEPROM_KB,Magistrale,Pret_USD,Consum_W,IO_Pins,Tensiune_V,Pachet,An_Lansare,Aplicatie
Texas Instruments,TEX-MCU350000,8051,240,64,1,0.5,"CAN, PWM",5.57,0.625,16,5.0,DIP,2016,Automotive
Microchip,MIC-MCU350001,ARM Cortex-M4,32,1024,8,2.0,"SPI, I2C, CAN, UART, USB",2.59,0.174,57,1.8,SOIC,2005,Wearable
Infineon,INF-MCU350002,ARM Cortex-M4,48,16,1,4.0,"CAN, Ethernet",4.21,1.102,16,3.3,DIP,2009,Automotive
Texas Instruments,TEX-MCU350003,ARM Cortex-M0,480,32,2,2.0,"SPI, Ethernet, USB",11.09,1.457,71,2.5,TSSOP,2022,Wearable
STMicroelectronics,STM-MCU350004,RISC-V,32,16,128,0.0,"CAN, Ethernet",5.2,1.333,9,2.5,DIP,2019,Medical
Microchip,MIC-MCU350005,ARM Cortex-M0,120,1024,128,8.0,"USB, I2C, Ethernet, PWM",1.73,0.344,77,2.5,SOIC,2011,Consumer
Espressif,ESP-MCU350006,ARM Cortex-M3,480,16,32,2.0,"SPI, PWM, UART, USB, Ethernet",10.21,0.359,77,2.5,SOIC,2005,Automotive
Infineon,INF-MCU350007,ARM Cortex-M0,72,16,2,0.0,"SPI, USB, PWM",4.19,0.216,61,1.8,TSSOP,2013,Industrial
Microchip,MIC-MCU350008,AVR 8-bit,168,512,8,8.0,"I2C, UART, Ethernet",10.65,1.295,69,5.0,QFN,2010,Medical
NXP,NXP-MCU350009,ARM Cortex-M7,240,32,32,1.0,"I2C, CAN",3.74,0.927,12,5.0,BGA,2022,IoT
Silicon Labs,SIL-MCU350010,RISC-V,8,16,16,4.0,"UART, I2C, CAN, USB",6.1,0.475,13,5.0,TSSOP,2006,Medical
Analog Devices,ANA-MCU350011,8051,168,2048,256,0.0,"PWM, UART",1.73,0.782,48,2.5,BGA,2012,Automotive
STMicroelectronics,STM-MCU350012,ARM Cortex-M3,240,2048,4,4.0,"USB, CAN, SPI, Ethernet, PWM",11.31,0.791,14,3.3,LQFP,2007,IoT
Renesas,REN-MCU350013,ARM Cortex-M7,200,16,16,0.5,"I2C, USB, SPI, Ethernet",8.61,0.017,44,2.5,TSSOP,2013,Medical
Microchip,MIC-MCU350014,8051,200,256,256,4.0,"I2C, PWM, USB, SPI, UART",3.78,0.64,75,3.3,BGA,2012,Consumer
Silicon Labs,SIL-MCU350015,RISC-V,32,32,64,2.0,"PWM, USB, Ethernet, I2C, CAN",0.68,1.293,52,3.3,LQFP,2014,Consumer
Renesas,REN-MCU350016,RISC-V,32,2048,8,8.0,"CAN, USB, Ethernet, UART",1.3,0.75,81,1.8,LQFP,2017,Industrial
Silicon Labs,SIL-MCU350017,8051,240,128,2,0.0,"I2C, SPI",0.71,0.803,93,5.0,TSSOP,2006,Wearable
