Producator,Model,Arhitectura,Frecventa_MHz,Flash_KB,RAM_KB,EEPROM_KB,Magistrale,Pret_USD,Consum_W,IO_Pins,Tensiune_V,Pachet,An_Lansare,Aplicatie
STMicroelectronics,STM-MCU65000,ARM Cortex-M4,16,16,8,4.0,"I2C, SPI, PWM",3.49,0.563,54,5.0,DIP,2015,Automotive
Microchip,MIC-MCU65001,RISC-V,200,256,8,0.0,"SPI, I2C, USB, UART",8.15,1.371,47,5.0,SOIC,2007,Industrial
Infineon,INF-MCU65002,ARM Cortex-M3,200,64,32,1.0,"CAN, UART, Ethernet, PWM",8.13,0.848,61,5.0,SOIC,2021,Medical
NXP,NXP-MCU65003,MIPS32,48,2048,2,2.0,"CAN, Ethernet, PWM, SPI",3.74,0.686,85,2.5,TSSOP,2011,Industrial
Silicon Labs,SIL-MCU65004,ARM Cortex-M3,480,16,4,2.0,"I2C, CAN, Ethernet, PWM",11.73,0.208,53,1.8,SOIC,2021,Automotive
Analog Devices,ANA-MCU65005,ARM Cortex-M3,48,64,8,0.5,"I2C, USB, UART, CAN",4.37,1.392,90,5.0,TSSOP,2009,Automotive
Microchip,MIC-MCU65006,8051,48,64,64,1.0,"USB, Ethernet",7.45,0.266,38,1.8,BGA,2005,Consumer
Microchip,MIC-MCU65007,RISC-V,480,1024,32,0.5,"USB, UART, Ethernet, SPI, PWM",8.57,0.36,85,2.5,QFN,2023,Consumer
Renesas,REN-MCU65008,ARM Cortex-M0,16,32,512,0.0,"PWM, USB, UART",1.94,1.437,26,1.8,QFN,2010,Wearable
STMicroelectronics,STM-MCU65009,ARM Cortex-M4,8,64,128,8.0,"I2C, CAN, USB, Ethernet",6.29,1.136,29,3.3,LQFP,2024,Automotive
STMicroelectronics,STM-MCU65010,8051,72,64,16,0.5,"UART, I2C, CAN, Ethernet",4.21,1.218,29,1.8,LQFP,2010,Industrial
Analog Devices,ANA-MCU65011,RISC-V,200,16,128,8.0,"Ethernet, PWM, CAN",3.49,1.269,51,1.8,LQFP,2007,Wearable
Texas Instruments,TEX-MCU65012,ARM Cortex-M7,120,16,1,1.0,"USB, Ethernet, UART",0.91,0.517,80,1.8,TSSOP,2024,Consumer
STMicroelectronics,STM-MCU65013,ARM Cortex-M7,168,16,128,8.0,"UART, Ethernet",4.68,0.288,15,3.3,BGA,2024,IoT
Espressif,ESP-MCU65014,AVR 8-bit,8,32,8,2.0,"CAN, PWM, UART",5.0,1.046,9,3.3,SOIC,2022,Industrial
Texas Instruments,TEX-MCU65015,ARM Cortex-M3,200,16,256,0.0,"CAN, Ethernet, USB, SPI, PWM",1.73,1.053,99,1.8,SOIC,2023,Consumer
