Producator,Model,Arhitectura,Frecventa_MHz,Flash_KB,RAM_KB,EEPROM_KB,Magistrale,Pret_USD,Consum_W,IO_Pins,Tensiune_V,Pachet,An_Lansare,Aplicatie
Texas Instruments,TEX-MCU25000,MIPS32,48,64,32,2.0,"PWM, Ethernet, CAN, UART, USB",9.06,1.183,86,5.0,BGA,2005,Industrial
NXP,NXP-MCU25001,8051,200,64,4,0.5,"Ethernet, I2C",5.22,0.864,43,3.3,BGA,2013,Industrial
Microchip,MIC-MCU25002,MIPS32,8,1024,64,0.5,"Ethernet, SPI",6.12,0.729,55,1.8,TSSOP,2012,Automotive
Renesas,REN-MCU25003,AVR 8-bit,480,16,128,0.5,"Ethernet, CAN",8.83,1.234,22,1.8,SOIC,2011,Medical
Texas Instruments,TEX-MCU25004,ARM Cortex-M4,8,128,4,0.0,"UART, PWM",3.43,0.127,6,1.8,LQFP,2024,Automotive
Silicon Labs,SIL-MCU25005,MIPS32,200,1024,1,0.0,"CAN, PWM",9.66,0.352,91,3.3,QFN,2022,Consumer
STMicroelectronics,STM-MCU25006,ARM Cortex-M7,480,2048,2,1.0,"UART, CAN, Ethernet, USB, PWM",7.78,1.44,25,1.8,TSSOP,2013,Industrial
Texas Instruments,TEX-MCU25007,ARM Cortex-M0,480,16,512,0.0,"I2C, SPI, UART, USB",4.24,0.043,16,2.5,QFN,2012,Wearable
Microchip,MIC-MCU25008,ARM Cortex-M3,200,64,256,8.0,"UART, SPI, USB, Ethernet",11.48,1.163,80,5.0,LQFP,2009,Wearable
Espressif,ESP-MCU25009,MIPS32,480,1024,32,0.0,"PWM, SPI, I2C, Ethernet, UART",4.11,1.027,13,5.0,SOIC,2015,Automotive
Texas Instruments,TEX-MCU25010,ARM Cortex-M0,8,256,32,0.0,"Ethernet, I2C",10.85,0.16,28,5.0,LQFP,2024,Automotive
Espressif,ESP-MCU25011,RISC-V,480,512,1,1.0,"UART, PWM",4.46,0.115,44,1.8,LQFP,2014,Industrial
NXP,NXP-MCU25012,ARM Cortex-M0,72,512,128,0.5,"CAN, Ethernet, SPI",3.33,0.597,69,1.8,QFN,2012,Wearable
Nordic Semiconductor,NOR-MCU25013,ARM Cortex-M0,480,32,32,4.0,"USB, SPI, CAN, UART",5.64,1.402,39,1.8,LQFP,2013,Consumer
NXP,NXP-MCU25014,8051,120,128,1,1.0,"I2C, UART, USB",1.7,1.176,62,2.5,DIP,2008,IoT
STMicroelectronics,STM-MCU25015,ARM Cortex-M3,200,32,1,1.0,"USB, UART, Ethernet, PWM",5.73,0.918,98,5.0,LQFP,2020,Medical
STMicroelectronics,STM-MCU25016,ARM Cortex-M4,8,256,16,0.5,"SPI, I2C",0.63,0.742,29,1.8,DIP,2008,Consumer
Espressif,ESP-MCU25017,8051,16,64,16,4.0,"USB, CAN, UART",11.55,1.483,23,2.5,LQFP,2020,Wearable
Nordic Semiconductor,NOR-MCU25018,AVR 8-bit,200,256,32,1.0,"I2C, SPI, Ethernet, UART, USB",2.25,0.845,82,5.0,SOIC,2020,Wearable
Analog Devices,ANA-MCU25019,ARM Cortex-M4,48,256,16,1.0,"CAN, USB",6.02,1.314,82,1.8,BGA,2006,Automotive
Analog Devices,ANA-MCU25020,ARM Cortex-M7,200,128,2,1.0,"Ethernet, USB, SPI",2.15,1.445,31,5.0,LQFP,2016,Medical
STMicroelectronics,STM-MCU25021,8051,120,256,2,2.0,"USB, SPI, Ethernet",8.59,0.821,70,5.0,SOIC,2006,Automotive
Nordic Semiconductor,NOR-MCU25022,8051,48,16,1,8.0,"USB, UART, CAN, SPI",5.13,0.452,17,5.0,DIP,2017,Wearable
Nordic Semiconductor,NOR-MCU25023,RISC-V,200,32,4,4.0,"Ethernet, PWM, USB, SPI",4.52,0.076,84,3.3,LQFP,2010,IoT
Analog Devices,ANA-MCU25024,ARM Cortex-M3,200,1024,2,0.0,"SPI, USB",10.88,1.423,20,5.0,BGA,2006,IoT
STMicroelectronics,STM-MCU25025,ARM Cortex-M3,480,512,256,4.0,"SPI, PWM, Ethernet, USB, UART",9.43,0.988,54,5.0,BGA,2007,Automotive
Silicon Labs,SIL-MCU25026,ARM Cortex-M4,168,256,32,2.0,"UART, I2C, SPI, USB",4.83,0.821,12,1.8,QFN,2007,Wearable
Infineon,INF-MCU25027,MIPS32,48,64,8,0.5,"SPI, CAN, UART, USB, Ethernet",10.52,0.849,50,2.5,SOIC,2018,IoT
Renesas,REN-MCU25028,ARM Cortex-M0,200,32,8,4.0,"SPI, UART",10.16,1.469,40,2.5,LQFP,2015,Industrial
Renesas,REN-MCU25029,MIPS32,240,64,128,0.5,"UART, CAN, Ethernet",2.25,0.28,51,3.3,BGA,2005,Automotive
Renesas,REN-MCU25030,ARM Cortex-M3,32,32,16,8.0,"UART, PWM, SPI, USB, CAN",11.12,0.753,23,2.5,DIP,2021,Wearable
Espressif,ESP-MCU25031,ARM Cortex-M0,168,128,1,1.0,"I2C, PWM",9.77,0.247,89,1.8,BGA,2021,Automotive
Nordic Semiconductor,NOR-MCU25032,ARM Cortex-M0,168,128,256,4.0,"SPI, CAN, UART, Ethernet",10.02,0.464,34,1.8,BGA,2020,Wearable
STMicroelectronics,STM-MCU25033,AVR 8-bit,480,2048,4,1.0,"Ethernet, CAN",5.57,0.667,48,1.8,DIP,2009,Wearable
NXP,NXP-MCU25034,ARM Cortex-M3,8,256,1,2.0,"CAN, SPI",8.29,1.113,89,2.5,BGA,2009,Wearable
Silicon Labs,SIL-MCU25035,ARM Cortex-M3,240,128,1,2.0,"Ethernet, I2C, PWM, CAN",5.92,1.253,29,5.0,SOIC,2024,Consumer
NXP,NXP-MCU25036,8051,168,128,32,0.0,"USB, PWM, CAN, I2C",7.21,0.974,31,1.8,LQFP,2013,Wearable
Renesas,REN-MCU25037,ARM Cortex-M4,168,32,32,4.0,"CAN, I2C",1.23,1.365,36,1.8,LQFP,2012,IoT
STMicroelectronics,STM-MCU25038,ARM Cortex-M7,72,64,4,0.5,"Ethernet, CAN, USB, SPI, I2C",3.24,1.377,64,3.3,SOIC,2007,IoT
Microchip,MIC-MCU25039,MIPS32,120,256,2,2.0,"UART, I2C, SPI, USB",2.04,0.338,9,2.5,LQFP,2008,Medical
Texas Instruments,TEX-MCU25040,ARM Cortex-M7,120,2048,512,2.0,"Ethernet, CAN, USB, SPI",11.75,1.424,14,1.8,BGA,2016,Medical
Espressif,ESP-MCU25041,AVR 8-bit,240,1024,64,4.0,"UART, I2C, PWM",2.51,1.408,70,1.8,BGA,2017,IoT
Espressif,ESP-MCU25042,ARM Cortex-M7,8,256,512,4.0,"PWM, UART, Ethernet, CAN",4.23,0.072,41,2.5,TSSOP,2023,Consumer
Espressif,ESP-MCU25043,RISC-V,120,64,64,2.0,"USB, PWM, UART, I2C",8.31,1.01,99,1.8,QFN,2018,Consumer
Texas Instruments,TEX-MCU25044,ARM Cortex-M4,240,256,32,4.0,"Ethernet, USB, I2C",4.37,1.441,77,5.0,TSSOP,2015,Medical
Espressif,ESP-MCU25045,MIPS32,480,512,8,0.5,"USB, Ethernet, SPI, PWM, UART",4.57,1.236,42,1.8,BGA,2010,Wearable
STMicroelectronics,STM-MCU25046,ARM Cortex-M0,240,1024,1,0.0,"I2C, USB",11.95,0.739,97,1.8,SOIC,2017,Wearable
NXP,NXP-MCU25047,ARM Cortex-M3,120,512,16,1.0,"SPI, Ethernet",4.63,1.357,66,2.5,LQFP,2022,Automotive
Renesas,REN-MCU25048,ARM Cortex-M4,16,2048,4,0.0,"CAN, I2C, SPI",4.14,0.488,40,1.8,DIP,2011,Medical
Microchip,MIC-MCU25049,MIPS32,168,64,512,8.0,"CAN, I2C, USB, UART",4.85,1.496,33,2.5,BGA,2019,IoT
Espressif,ESP-MCU25050,ARM Cortex-M3,72,128,2,1.0,"CAN, USB",3.93,0.521,19,3.3,DIP,2010,Wearable
Infineon,INF-MCU25051,ARM Cortex-M3,240,256,512,0.0,"SPI, Ethernet, CAN",7.61,0.591,52,2.5,QFN,2019,Medical
Infineon,INF-MCU25052,ARM Cortex-M4,168,16,8,2.0,"UART, USB, Ethernet",1.55,0.743,46,2.5,BGA,2018,Medical
Microchip,MIC-MCU25053,AVR 8-bit,32,256,1,4.0,"PWM, CAN, UART, USB",6.6,0.497,79,1.8,SOIC,2023,Consumer
Silicon Labs,SIL-MCU25054,ARM Cortex-M0,120,32,8,0.0,"CAN, Ethernet",4.47,0.584,95,1.8,TSSOP,2014,IoT
Analog Devices,ANA-MCU25055,ARM Cortex-M0,48,64,4,8.0,"UART, USB",8.76,1.294,24,5.0,SOIC,2005,Medical
Microchip,MIC-MCU25056,ARM Cortex-M3,168,64,4,4.0,"PWM, I2C",10.43,0.113,66,5.0,DIP,2018,Consumer
