Producator,Model,Arhitectura,Frecventa_MHz,Flash_KB,RAM_KB,EEPROM_KB,Magistrale,Pret_USD,Consum_W,IO_Pins,Tensiune_V,Pachet,An_Lansare,Aplicatie
NXP,NXP-MCU480000,AVR 8-bit,72,32,2,1.0,"USB, Ethernet, I2C",0.91,0.83,80,5.0,SOIC,2014,Wearable
Espressif,ESP-MCU480001,AVR 8-bit,168,512,128,1.0,"SPI, USB, CAN",0.78,0.976,86,3.3,DIP,2023,Wearable
Silicon Labs,SIL-MCU480002,ARM Cortex-M3,168,2048,4,2.0,"Ethernet, I2C, PWM, CAN, USB",7.7,0.167,76,5.0,LQFP,2021,Consumer
NXP,NXP-MCU480003,AVR 8-bit,480,16,1,0.0,"I2C, CAN, PWM, SPI",4.0,1.02,76,3.3,QFN,2012,Automotive
Silicon Labs,SIL-MCU480004,ARM Cortex-M3,200,128,1,0.5,"Ethernet, UART, USB, PWM",7.91,0.799,56,1.8,TSSOP,2014,Automotive
Renesas,REN-MCU480005,ARM Cortex-M3,240,512,512,0.5,"PWM, USB, UART, Ethernet, CAN",2.27,1.336,51,3.3,SOIC,2016,Consumer
Silicon Labs,SIL-MCU480006,8051,168,16,64,0.0,"CAN, I2C, UART, Ethernet",9.9,1.145,74,2.5,SOIC,2022,Automotive
Infineon,INF-MCU480007,RISC-V,168,2048,32,0.5,"I2C, UART, CAN, Ethernet, SPI",2.77,0.21,32,3.3,LQFP,2018,Industrial
NXP,NXP-MCU480008,RISC-V,168,64,64,2.0,"CAN, I2C, SPI",5.63,0.839,60,5.0,TSSOP,2016,Industrial
NXP,NXP-MCU480009,ARM Cortex-M7,168,1024,32,4.0,"SPI, I2C",2.29,0.856,60,5.0,TSSOP,2024,Consumer
Espressif,ESP-MCU480010,ARM Cortex-M7,480,16,16,4.0,"PWM, I2C, SPI, USB",1.86,0.8,83,3.3,DIP,2023,Consumer
Analog Devices,ANA-MCU480011,ARM Cortex-M0,168,64,1,0.5,"CAN, I2C, Ethernet, SPI, USB",0.61,1.238,11,5.0,SOIC,2015,Consumer
Nordic Semiconductor,NOR-MCU480012,8051,120,256,4,8.0,"I2C, UART, CAN",8.19,1.367,93,2.5,SOIC,2022,IoT
Renesas,REN-MCU480013,ARM Cortex-M0,16,64,4,4.0,"Ethernet, SPI, PWM, I2C, CAN",7.53,0.524,25,1.8,LQFP,2020,Medical
Nordic Semiconductor,NOR-MCU480014,ARM Cortex-M4,72,512,2,0.5,"USB, SPI, CAN, PWM",5.5,1.038,37,2.5,QFN,2008,Automotive
Renesas,REN-MCU480015,AVR 8-bit,72,128,256,8.0,"USB, SPI, Ethernet, CAN, I2C",10.94,0.602,79,1.8,BGA,2015,Wearable
Texas Instruments,TEX-MCU480016,8051,16,1024,512,8.0,"CAN, SPI",6.91,1.457,83,5.0,BGA,2021,Wearable
Analog Devices,ANA-MCU480017,MIPS32,120,32,64,1.0,"PWM, USB",11.55,1.054,62,2.5,QFN,2014,Wearable
Nordic Semiconductor,NOR-MCU480018,ARM Cortex-M0,240,128,1,4.0,"SPI, I2C, Ethernet, PWM, UART",1.08,0.665,14,2.5,LQFP,2020,Wearable
Analog Devices,ANA-MCU480019,ARM Cortex-M3,8,256,8,2.0,"CAN, USB, SPI",10.57,0.816,89,3.3,QFN,2015,IoT
Nordic Semiconductor,NOR-MCU480020,ARM Cortex-M4,72,256,4,8.0,"UART, I2C, SPI",10.25,0.239,69,1.8,LQFP,2022,IoT
NXP,NXP-MCU480021,ARM Cortex-M7,16,32,512,2.0,"Ethernet, I2C, UART, CAN, USB",10.42,0.242,80,1.8,LQFP,2008,Medical
Silicon Labs,SIL-MCU480022,ARM Cortex-M0,8,64,1,0.5,"SPI, Ethernet, UART, I2C",10.85,0.964,44,2.5,TSSOP,2011,Wearable
Microchip,MIC-MCU480023,ARM Cortex-M7,32,256,4,2.0,"PWM, Ethernet, SPI, I2C, UART",5.54,0.417,68,1.8,QFN,2023,Medical
Analog Devices,ANA-MCU480024,MIPS32,32,1024,64,2.0,"USB, SPI, UART",4.23,1.452,89,1.8,TSSOP,2017,Industrial
Silicon Labs,SIL-MCU480025,ARM Cortex-M3,120,64,128,0.0,"SPI, Ethernet, UART, PWM, I2C",11.84,0.604,39,1.8,SOIC,2015,Wearable
Texas Instruments,TEX-MCU480026,ARM Cortex-M3,16,128,1,0.5,"PWM, UART",8.61,1.417,59,3.3,SOIC,2012,Consumer
Nordic Semiconductor,NOR-MCU480027,ARM Cortex-M0,120,16,16,0.5,"USB, CAN, I2C",5.25,1.452,7,1.8,LQFP,2011,IoT
Nordic Semiconductor,NOR-MCU480028,AVR 8-bit,16,512,4,4.0,"I2C, USB, PWM",3.4,1.009,89,5.0,BGA,2007,IoT
Silicon Labs,SIL-MCU480029,8051,72,512,512,4.0,"Ethernet, I2C, CAN",7.92,0.026,9,1.8,QFN,2012,Wearable
Microchip,MIC-MCU480030,ARM Cortex-M4,200,16,64,2.0,"CAN, USB",3.17,0.779,44,5.0,SOIC,2010,Wearable
Renesas,REN-MCU480031,ARM Cortex-M3,168,16,64,0.5,"UART, Ethernet, PWM, SPI, CAN",2.48,0.205,36,1.8,BGA,2022,Wearable
Analog Devices,ANA-MCU480032,ARM Cortex-M3,72,32,1,0.5,"PWM, UART",1.76,0.966,61,2.5,QFN,2017,Medical
Analog Devices,ANA-MCU480033,RISC-V,16,2048,16,0.0,"UART, CAN, Ethernet",4.42,1.13,82,1.8,TSSOP,2006,IoT
NXP,NXP-MCU480034,ARM Cortex-M0,72,128,16,0.5,"PWM, UART",8.6,1.352,76,2.5,DIP,2023,IoT
Infineon,INF-MCU480035,ARM Cortex-M4,480,2048,64,8.0,"SPI, UART, Ethernet",6.29,0.257,31,3.3,BGA,2019,Automotive
Silicon Labs,SIL-MCU480036,ARM Cortex-M4,240,32,64,2.0,"PWM, I2C, CAN, Ethernet, UART",9.08,0.616,59,3.3,TSSOP,2014,IoT
Analog Devices,ANA-MCU480037,ARM Cortex-M4,72,128,256,0.0,"I2C, SPI",11.04,0.051,70,1.8,LQFP,2007,Wearable
Analog Devices,ANA-MCU480038,ARM Cortex-M3,200,32,4,4.0,"I2C, PWM, Ethernet, SPI",10.35,1.351,80,3.3,SOIC,2014,IoT
Silicon Labs,SIL-MCU480039,AVR 8-bit,480,512,32,2.0,"CAN, UART, PWM, I2C, SPI",9.64,0.467,55,1.8,BGA,2019,Wearable
Texas Instruments,TEX-MCU480040,RISC-V,480,128,8,1.0,"SPI, PWM, USB",3.49,0.05,33,2.5,DIP,2021,Consumer
Analog Devices,ANA-MCU480041,RISC-V,72,16,256,4.0,"I2C, UART, SPI",6.59,0.378,35,1.8,SOIC,2022,Automotive
Texas Instruments,TEX-MCU480042,ARM Cortex-M3,120,16,16,4.0,"UART, USB",1.24,0.431,13,3.3,TSSOP,2021,Automotive
Renesas,REN-MCU480043,ARM Cortex-M7,168,512,8,4.0,"SPI, PWM, CAN, Ethernet",6.58,1.099,25,1.8,LQFP,2023,IoT
Renesas,REN-MCU480044,8051,72,128,16,2.0,"USB, SPI, I2C",9.66,0.236,99,1.8,QFN,2006,Consumer
Microchip,MIC-MCU480045,8051,120,2048,64,8.0,"CAN, USB, PWM, UART, Ethernet",11.23,1.236,9,5.0,TSSOP,2021,Consumer
Espressif,ESP-MCU480046,MIPS32,168,512,16,0.5,"CAN, UART, SPI",3.71,0.337,56,2.5,LQFP,2005,Wearable
Texas Instruments,TEX-MCU480047,ARM Cortex-M3,16,64,64,2.0,"I2C, USB, CAN, UART",9.11,0.536,85,5.0,LQFP,2005,Wearable
Microchip,MIC-MCU480048,MIPS32,120,32,16,0.0,"UART, I2C, CAN, PWM, USB",4.19,1.248,13,2.5,LQFP,2013,Medical
STMicroelectronics,STM-MCU480049,8051,168,16,1,0.0,"PWM, SPI, I2C",7.18,0.401,8,1.8,LQFP,2019,Consumer
NXP,NXP-MCU480050,RISC-V,200,512,64,2.0,"PWM, I2C, Ethernet, UART",4.17,0.134,68,2.5,BGA,2006,Industrial
Nordic Semiconductor,NOR-MCU480051,MIPS32,16,1024,256,4.0,"SPI, PWM",11.26,1.332,32,1.8,QFN,2015,IoT
Infineon,INF-MCU480052,8051,72,1024,4,0.0,"UART, I2C, PWM",4.86,0.767,20,2.5,TSSOP,2013,Industrial
Infineon,INF-MCU480053,8051,240,256,512,2.0,"PWM, CAN, USB",4.26,0.18,7,5.0,DIP,2020,Medical
Infineon,INF-MCU480054,AVR 8-bit,32,16,16,8.0,"UART, PWM, I2C",10.29,0.249,95,1.8,LQFP,2007,Industrial
Texas Instruments,TEX-MCU480055,ARM Cortex-M3,480,1024,8,0.0,"UART, PWM, SPI, USB, CAN",4.0,0.938,97,3.3,DIP,2005,Wearable
Analog Devices,ANA-MCU480056,8051,72,32,512,0.5,"SPI, UART, USB, CAN",2.36,0.541,75,3.3,SOIC,2014,Industrial
Texas Instruments,TEX-MCU480057,MIPS32,16,512,16,2.0,"Ethernet, PWM, UART, I2C, SPI",6.57,1.483,80,3.3,SOIC,2018,Wearable
Analog Devices,ANA-MCU480058,ARM Cortex-M7,168,256,4,0.0,"PWM, UART, USB",5.6,1.326,21,5.0,SOIC,2008,Wearable
Infineon,INF-MCU480059,ARM Cortex-M4,72,1024,4,2.0,"PWM, I2C",5.79,1.364,41,3.3,QFN,2006,IoT
Espressif,ESP-MCU480060,ARM Cortex-M7,480,128,8,1.0,"Ethernet, PWM, UART, USB, CAN",9.3,0.83,36,2.5,TSSOP,2024,Industrial
Microchip,MIC-MCU480061,ARM Cortex-M4,168,256,32,1.0,"SPI, Ethernet, I2C",11.33,0.412,10,1.8,SOIC,2011,Automotive
STMicroelectronics,STM-MCU480062,AVR 8-bit,72,256,16,2.0,"I2C, UART, SPI, Ethernet, USB",6.59,0.918,13,1.8,SOIC,2022,Medical
Renesas,REN-MCU480063,ARM Cortex-M7,480,64,2,0.5,"I2C, CAN",2.84,0.589,45,1.8,LQFP,2017,Medical
Analog Devices,ANA-MCU480064,AVR 8-bit,120,64,2,1.0,"SPI, PWM, Ethernet, CAN",1.11,0.301,95,2.5,QFN,2019,Industrial
