Producator,Model,Arhitectura,Frecventa_MHz,Flash_KB,RAM_KB,EEPROM_KB,Magistrale,Pret_USD,Consum_W,IO_Pins,Tensiune_V,Pachet,An_Lansare,Aplicatie
Renesas,REN-MCU230000,ARM Cortex-M7,240,128,64,8.0,"I2C, UART, SPI, USB",1.51,1.185,47,5.0,QFN,2021,Automotive
Texas Instruments,TEX-MCU230001,ARM Cortex-M0,120,1024,64,8.0,"SPI, PWM, USB, CAN, UART",8.44,0.469,42,1.8,BGA,2009,Wearable
Renesas,REN-MCU230002,AVR 8-bit,72,512,8,0.0,"SPI, Ethernet, UART, CAN, PWM",7.01,1.202,45,3.3,QFN,2008,Medical
Infineon,INF-MCU230003,ARM Cortex-M7,120,64,2,0.5,"CAN, Ethernet, UART, I2C",7.44,0.677,17,2.5,TSSOP,2009,IoT
Espressif,ESP-MCU230004,MIPS32,200,16,256,2.0,"CAN, USB, UART, Ethernet, I2C",0.78,0.151,35,2.5,SOIC,2017,Automotive
NXP,NXP-MCU230005,MIPS32,200,128,2,2.0,"Ethernet, CAN, USB, SPI, UART",11.12,1.238,25,1.8,LQFP,2018,Industrial
Microchip,MIC-MCU230006,AVR 8-bit,16,16,4,0.0,"UART, Ethernet, PWM, USB",10.18,0.902,21,1.8,TSSOP,2024,Consumer
Microchip,MIC-MCU230007,MIPS32,16,64,16,1.0,"PWM, Ethernet, SPI",4.53,1.069,42,2.5,DIP,2007,Industrial
Espressif,ESP-MCU230008,RISC-V,8,256,8,2.0,"PWM, USB",4.48,0.462,16,1.8,LQFP,2024,Medical
Nordic Semiconductor,NOR-MCU230009,ARM Cortex-M0,8,256,16,1.0,"USB, UART, PWM",10.92,0.43,7,3.3,QFN,2005,Medical
STMicroelectronics,STM-MCU230010,ARM Cortex-M0,240,128,32,8.0,"SPI, USB",6.18,0.709,92,5.0,SOIC,2021,Medical
STMicroelectronics,STM-MCU230011,ARM Cortex-M3,32,64,16,0.0,"I2C, UART, USB, SPI",5.49,0.981,51,2.5,BGA,2016,IoT
Infineon,INF-MCU230012,ARM Cortex-M3,8,1024,32,1.0,"UART, I2C",3.02,0.469,59,2.5,QFN,2007,Industrial
Renesas,REN-MCU230013,ARM Cortex-M0,16,1024,256,8.0,"CAN, Ethernet",4.58,0.286,41,3.3,DIP,2007,Medical
Silicon Labs,SIL-MCU230014,8051,480,32,4,4.0,"I2C, Ethernet, PWM",3.97,0.647,76,5.0,QFN,2007,Automotive
Texas Instruments,TEX-MCU230015,RISC-V,168,16,8,0.5,"SPI, CAN, UART, PWM, USB",10.57,1.29,47,1.8,BGA,2006,Industrial
Silicon Labs,SIL-MCU230016,ARM Cortex-M7,8,32,2,2.0,"PWM, CAN, SPI, Ethernet, I2C",10.16,0.326,63,5.0,QFN,2019,IoT
NXP,NXP-MCU230017,ARM Cortex-M7,72,16,16,1.0,"UART, PWM, Ethernet",10.73,0.535,92,2.5,QFN,2018,IoT
Texas Instruments,TEX-MCU230018,ARM Cortex-M7,200,16,4,2.0,"CAN, PWM, Ethernet, SPI, UART",1.86,0.88,27,2.5,LQFP,2009,Automotive
Analog Devices,ANA-MCU230019,MIPS32,48,64,8,2.0,"USB, Ethernet",4.38,1.393,53,3.3,DIP,2010,Industrial
Analog Devices,ANA-MCU230020,ARM Cortex-M0,48,1024,16,1.0,"PWM, CAN, UART",11.25,0.51,6,2.5,SOIC,2005,IoT
Analog Devices,ANA-MCU230021,RISC-V,480,1024,512,0.5,"Ethernet, UART",2.03,1.134,89,5.0,SOIC,2019,Medical
Espressif,ESP-MCU230022,ARM Cortex-M7,72,1024,32,0.0,"SPI, CAN",9.92,0.701,19,5.0,LQFP,2015,Wearable
Infineon,INF-MCU230023,RISC-V,72,1024,2,1.0,"I2C, CAN, SPI, UART, USB",1.79,0.892,18,5.0,SOIC,2009,Industrial
Infineon,INF-MCU230024,MIPS32,8,1024,32,4.0,"USB, CAN, Ethernet, PWM",4.56,0.397,56,2.5,QFN,2008,Industrial
Espressif,ESP-MCU230025,8051,240,1024,256,8.0,"Ethernet, USB",2.73,0.836,24,5.0,BGA,2010,Industrial
Texas Instruments,TEX-MCU230026,ARM Cortex-M3,480,256,4,0.5,"I2C, UART, USB, PWM, Ethernet",11.28,0.655,8,2.5,LQFP,2011,Industrial
Renesas,REN-MCU230027,RISC-V,200,2048,2,0.0,"USB, PWM, I2C",3.1,0.976,95,2.5,LQFP,2010,Industrial
Nordic Semiconductor,NOR-MCU230028,8051,240,32,8,2.0,"PWM, CAN, USB",8.4,0.376,88,2.5,DIP,2024,Wearable
Texas Instruments,TEX-MCU230029,ARM Cortex-M0,48,64,8,0.5,"PWM, I2C, USB, UART, CAN",5.11,1.359,72,2.5,DIP,2023,Medical
Silicon Labs,SIL-MCU230030,ARM Cortex-M4,32,1024,2,2.0,"I2C, USB, UART, SPI, Ethernet",11.68,1.261,76,2.5,TSSOP,2017,Wearable
Nordic Semiconductor,NOR-MCU230031,RISC-V,8,16,128,1.0,"PWM, USB",7.64,0.89,30,5.0,TSSOP,2008,IoT
Texas Instruments,TEX-MCU230032,ARM Cortex-M4,16,1024,128,8.0,"Ethernet, SPI",3.57,0.057,83,1.8,DIP,2012,Consumer
NXP,NXP-MCU230033,8051,168,16,256,0.5,"UART, I2C, SPI, USB",7.01,0.465,28,3.3,BGA,2019,Wearable
Silicon Labs,SIL-MCU230034,ARM Cortex-M7,32,16,4,2.0,"USB, PWM, UART, SPI, I2C",0.97,1.32,17,1.8,TSSOP,2019,Automotive
Espressif,ESP-MCU230035,ARM Cortex-M7,240,512,32,8.0,"SPI, USB",8.77,1.244,74,1.8,DIP,2017,IoT
Analog Devices,ANA-MCU230036,ARM Cortex-M7,48,128,2,0.5,"USB, PWM",0.58,1.18,95,3.3,BGA,2010,Consumer
STMicroelectronics,STM-MCU230037,ARM Cortex-M4,8,512,1,0.5,"I2C, SPI, Ethernet, PWM, UART",2.38,0.544,27,3.3,LQFP,2015,Industrial
Renesas,REN-MCU230038,MIPS32,120,2048,512,1.0,"USB, UART, I2C",11.08,0.707,39,2.5,QFN,2016,Industrial
STMicroelectronics,STM-MCU230039,ARM Cortex-M7,48,16,64,2.0,"Ethernet, SPI, PWM",9.42,0.651,98,3.3,BGA,2008,Consumer
STMicroelectronics,STM-MCU230040,AVR 8-bit,32,128,2,4.0,"SPI, USB",6.86,1.308,61,5.0,DIP,2019,Automotive
Texas Instruments,TEX-MCU230041,RISC-V,16,1024,4,4.0,"SPI, I2C, CAN, UART, USB",2.43,0.01,85,5.0,DIP,2006,Industrial
