Producator,Model,Arhitectura,Frecventa_MHz,Flash_KB,RAM_KB,EEPROM_KB,Magistrale,Pret_USD,Consum_W,IO_Pins,Tensiune_V,Pachet,An_Lansare,Aplicatie
Silicon Labs,SIL-MCU120000,AVR 8-bit,240,256,512,1.0,"Ethernet, USB, SPI",11.88,0.586,44,2.5,BGA,2009,Automotive
Renesas,REN-MCU120001,ARM Cortex-M0,16,512,4,4.0,"CAN, SPI, UART",2.36,1.144,33,3.3,DIP,2010,Industrial
Texas Instruments,TEX-MCU120002,ARM Cortex-M7,16,64,128,8.0,"Ethernet, SPI, PWM",3.23,0.531,98,2.5,TSSOP,2007,Industrial
Microchip,MIC-MCU120003,AVR 8-bit,240,16,256,1.0,"SPI, USB, PWM",10.05,0.184,28,1.8,TSSOP,2014,Medical
Nordic Semiconductor,NOR-MCU120004,ARM Cortex-M4,168,64,8,2.0,"CAN, USB",4.68,0.894,58,3.3,TSSOP,2019,Medical
NXP,NXP-MCU120005,MIPS32,48,2048,8,8.0,"I2C, PWM, CAN",1.23,0.888,84,2.5,SOIC,2023,IoT
Analog Devices,ANA-MCU120006,ARM Cortex-M4,32,1024,16,2.0,"UART, I2C, PWM",4.08,1.19,65,5.0,LQFP,2023,Industrial
NXP,NXP-MCU120007,MIPS32,32,2048,1,2.0,"PWM, CAN, Ethernet, I2C, SPI",0.53,0.214,45,5.0,SOIC,2021,Industrial
Nordic Semiconductor,NOR-MCU120008,RISC-V,16,64,512,2.0,"CAN, I2C",10.58,0.994,91,5.0,BGA,2014,IoT
NXP,NXP-MCU120009,ARM Cortex-M4,200,256,64,8.0,"UART, SPI, Ethernet",3.72,1.371,9,3.3,BGA,2013,Industrial
Silicon Labs,SIL-MCU120010,ARM Cortex-M0,200,16,1,1.0,"USB, Ethernet, UART, CAN, PWM",7.52,0.652,21,1.8,BGA,2010,IoT
Texas Instruments,TEX-MCU120011,ARM Cortex-M3,72,2048,1,8.0,"SPI, CAN, USB, Ethernet",1.47,1.202,78,5.0,SOIC,2018,Consumer
Analog Devices,ANA-MCU120012,MIPS32,240,512,32,0.5,"SPI, PWM",3.8,1.217,76,5.0,LQFP,2020,Wearable
Microchip,MIC-MCU120013,8051,168,16,512,0.0,"CAN, PWM, UART",1.27,0.345,35,1.8,DIP,2018,Industrial
Silicon Labs,SIL-MCU120014,ARM Cortex-M4,8,16,2,8.0,"Ethernet, USB, SPI, I2C, CAN",2.4,0.034,19,1.8,LQFP,2021,Wearable
Microchip,MIC-MCU120015,RISC-V,16,1024,64,0.5,"SPI, CAN, I2C, UART",7.85,1.192,71,5.0,BGA,2006,Automotive
Renesas,REN-MCU120016,8051,32,32,8,2.0,"SPI, UART",3.65,0.249,43,3.3,LQFP,2013,Industrial
Nordic Semiconductor,NOR-MCU120017,ARM Cortex-M0,168,2048,256,0.5,"PWM, SPI, I2C",10.6,0.6,21,1.8,LQFP,2023,Industrial
Renesas,REN-MCU120018,MIPS32,32,2048,1,0.5,"CAN, PWM, SPI, UART, Ethernet",3.33,0.492,56,3.3,SOIC,2018,IoT
Analog Devices,ANA-MCU120019,ARM Cortex-M3,8,128,512,0.5,"SPI, USB",3.64,0.978,16,1.8,SOIC,2014,Automotive
Infineon,INF-MCU120020,ARM Cortex-M4,168,64,32,2.0,"SPI, UART, CAN, PWM",1.68,0.131,41,3.3,BGA,2022,Wearable
Microchip,MIC-MCU120021,ARM Cortex-M4,168,512,64,0.5,"CAN, I2C, USB, UART, Ethernet",3.67,0.463,93,3.3,DIP,2022,IoT
Texas Instruments,TEX-MCU120022,ARM Cortex-M0,32,64,2,8.0,"SPI, Ethernet, CAN",2.9,1.382,58,1.8,LQFP,2014,Consumer
Infineon,INF-MCU120023,ARM Cortex-M7,72,2048,256,1.0,"Ethernet, UART",9.75,0.12,89,5.0,BGA,2021,Medical
Silicon Labs,SIL-MCU120024,AVR 8-bit,16,2048,16,1.0,"I2C, PWM, CAN",7.91,0.488,36,1.8,DIP,2022,Medical
Microchip,MIC-MCU120025,ARM Cortex-M3,120,128,32,0.0,"Ethernet, I2C",9.07,1.376,51,2.5,QFN,2005,Consumer
Espressif,ESP-MCU120026,ARM Cortex-M4,72,128,2,4.0,"Ethernet, SPI, USB, PWM",5.5,0.534,16,3.3,BGA,2022,Automotive
Silicon Labs,SIL-MCU120027,AVR 8-bit,72,32,64,8.0,"SPI, PWM, Ethernet, I2C",11.45,0.886,93,5.0,BGA,2021,Automotive
NXP,NXP-MCU120028,MIPS32,8,1024,2,4.0,"PWM, Ethernet",7.94,0.771,24,1.8,TSSOP,2010,IoT
Espressif,ESP-MCU120029,AVR 8-bit,16,2048,2,0.0,"USB, SPI, CAN, PWM",6.53,0.984,10,5.0,QFN,2020,Consumer
Microchip,MIC-MCU120030,ARM Cortex-M7,480,64,512,8.0,"Ethernet, SPI",5.59,0.933,30,5.0,LQFP,2022,IoT
STMicroelectronics,STM-MCU120031,ARM Cortex-M0,200,512,512,0.0,"USB, PWM, Ethernet, SPI",5.34,0.791,30,2.5,BGA,2016,Consumer
Silicon Labs,SIL-MCU120032,ARM Cortex-M3,16,512,32,2.0,"PWM, Ethernet, CAN, I2C",2.5,1.057,13,5.0,TSSOP,2008,Industrial
NXP,NXP-MCU120033,ARM Cortex-M3,72,2048,16,4.0,"I2C, UART, SPI",3.0,1.029,71,2.5,BGA,2019,Industrial
NXP,NXP-MCU120034,RISC-V,200,2048,64,0.5,"Ethernet, I2C",4.2,1.125,75,2.5,QFN,2010,Industrial
Infineon,INF-MCU120035,ARM Cortex-M4,48,16,256,8.0,"UART, I2C",10.32,0.277,14,2.5,LQFP,2013,Automotive
STMicroelectronics,STM-MCU120036,MIPS32,480,64,16,4.0,"PWM, I2C",2.33,0.772,40,5.0,BGA,2024,Automotive
Nordic Semiconductor,NOR-MCU120037,ARM Cortex-M0,72,512,4,4.0,"I2C, USB, Ethernet, SPI",8.87,0.222,70,3.3,QFN,2016,Consumer
Microchip,MIC-MCU120038,MIPS32,200,64,32,2.0,"UART, PWM",5.92,0.284,62,3.3,QFN,2010,IoT
Texas Instruments,TEX-MCU120039,ARM Cortex-M0,8,2048,128,1.0,"I2C, UART, PWM, USB, CAN",11.9,0.595,45,2.5,DIP,2006,Industrial
Analog Devices,ANA-MCU120040,ARM Cortex-M4,240,512,64,1.0,"SPI, CAN, USB",1.04,0.867,25,5.0,SOIC,2014,IoT
Renesas,REN-MCU120041,AVR 8-bit,120,2048,512,4.0,"UART, Ethernet, I2C, CAN, SPI",9.63,1.412,87,3.3,BGA,2009,IoT
NXP,NXP-MCU120042,ARM Cortex-M4,120,256,8,0.0,"UART, CAN",4.34,0.587,32,5.0,LQFP,2018,Wearable
Espressif,ESP-MCU120043,ARM Cortex-M7,200,64,2,4.0,"UART, I2C, PWM, USB, CAN",6.89,0.973,63,5.0,BGA,2016,Automotive
Infineon,INF-MCU120044,AVR 8-bit,32,512,512,0.0,"UART, USB, I2C",8.53,0.3,42,1.8,DIP,2013,Medical
Analog Devices,ANA-MCU120045,ARM Cortex-M0,32,2048,16,2.0,"PWM, USB",5.41,1.442,98,2.5,QFN,2024,Wearable
Nordic Semiconductor,NOR-MCU120046,MIPS32,32,32,512,2.0,"PWM, USB, UART, Ethernet",4.07,0.523,34,1.8,LQFP,2012,Consumer
Infineon,INF-MCU120047,MIPS32,48,16,4,2.0,"PWM, Ethernet, UART",8.22,1.022,94,5.0,QFN,2020,Medical
Nordic Semiconductor,NOR-MCU120048,8051,32,16,64,0.5,"SPI, I2C, CAN, UART",10.75,0.723,6,5.0,LQFP,2021,Industrial
Silicon Labs,SIL-MCU120049,RISC-V,72,32,4,0.5,"USB, UART, CAN, PWM",4.24,0.527,50,2.5,LQFP,2018,Medical
Analog Devices,ANA-MCU120050,ARM Cortex-M4,480,2048,4,0.0,"UART, USB",1.44,0.814,95,1.8,QFN,2015,Industrial
Microchip,MIC-MCU120051,8051,32,512,8,0.5,"CAN, I2C",1.28,0.339,45,2.5,LQFP,2014,IoT
Analog Devices,ANA-MCU120052,RISC-V,120,1024,8,8.0,"CAN, UART",3.74,0.159,87,2.5,QFN,2015,Automotive
