Producator,Model,Arhitectura,Frecventa_MHz,Flash_KB,RAM_KB,EEPROM_KB,Magistrale,Pret_USD,Consum_W,IO_Pins,Tensiune_V,Pachet,An_Lansare,Aplicatie
Infineon,INF-MCU195000,RISC-V,72,256,256,8.0,"UART, PWM, USB, CAN",11.57,1.175,62,3.3,LQFP,2018,Medical
Microchip,MIC-MCU195001,MIPS32,32,32,256,8.0,"I2C, USB, PWM",6.96,0.329,94,2.5,LQFP,2008,Medical
Silicon Labs,SIL-MCU195002,MIPS32,48,1024,32,0.0,"PWM, I2C, SPI, Ethernet",0.88,0.328,71,1.8,QFN,2018,Industrial
Texas Instruments,TEX-MCU195003,ARM Cortex-M4,168,64,512,2.0,"Ethernet, SPI",6.31,0.114,72,5.0,LQFP,2010,Medical
Texas Instruments,TEX-MCU195004,ARM Cortex-M4,120,32,256,8.0,"USB, SPI, Ethernet",11.18,0.143,93,1.8,LQFP,2015,Wearable
Microchip,MIC-MCU195005,AVR 8-bit,72,512,1,4.0,"UART, Ethernet, I2C, SPI",4.35,0.67,40,2.5,QFN,2017,Consumer
Infineon,INF-MCU195006,ARM Cortex-M4,168,2048,128,0.5,"USB, SPI, UART",4.98,1.463,82,2.5,DIP,2024,Wearable
Nordic Semiconductor,NOR-MCU195007,8051,32,1024,128,8.0,"UART, Ethernet, PWM, CAN",4.09,1.479,75,3.3,BGA,2010,Medical
Nordic Semiconductor,NOR-MCU195008,ARM Cortex-M3,480,512,32,0.5,"I2C, CAN, PWM, UART, USB",3.75,1.422,79,3.3,QFN,2024,IoT
Silicon Labs,SIL-MCU195009,ARM Cortex-M7,168,128,64,2.0,"CAN, SPI, PWM, USB",6.76,0.44,50,1.8,LQFP,2006,Automotive
NXP,NXP-MCU195010,RISC-V,72,512,32,1.0,"USB, SPI",6.36,0.225,98,3.3,QFN,2017,Wearable
STMicroelectronics,STM-MCU195011,RISC-V,200,128,64,2.0,"PWM, USB, I2C",8.54,1.228,83,3.3,SOIC,2013,Consumer
Espressif,ESP-MCU195012,AVR 8-bit,240,16,64,2.0,"PWM, I2C",10.52,0.437,74,1.8,TSSOP,2015,Wearable
Microchip,MIC-MCU195013,ARM Cortex-M0,200,2048,8,4.0,"Ethernet, SPI, UART, CAN",5.54,0.679,79,5.0,TSSOP,2017,Medical
Infineon,INF-MCU195014,MIPS32,8,128,2,4.0,"SPI, USB",3.49,0.634,66,3.3,QFN,2021,Automotive
Infineon,INF-MCU195015,ARM Cortex-M0,32,1024,512,4.0,"USB, Ethernet, UART, I2C, SPI",0.85,1.382,90,2.5,LQFP,2015,Consumer
Microchip,MIC-MCU195016,ARM Cortex-M0,168,64,1,1.0,"UART, USB, Ethernet, PWM",8.88,0.333,48,3.3,BGA,2022,Medical
Microchip,MIC-MCU195017,RISC-V,8,512,2,0.5,"Ethernet, CAN, USB, SPI",8.95,1.443,35,5.0,DIP,2012,IoT
Renesas,REN-MCU195018,ARM Cortex-M3,200,512,64,1.0,"USB, CAN",8.03,0.384,28,1.8,QFN,2024,Automotive
Infineon,INF-MCU195019,ARM Cortex-M4,120,1024,1,0.5,"CAN, PWM, SPI",0.75,0.933,20,1.8,TSSOP,2005,Wearable
Espressif,ESP-MCU195020,MIPS32,72,128,512,4.0,"Ethernet, I2C, PWM, UART, SPI",11.5,0.306,27,2.5,BGA,2018,Industrial
Espressif,ESP-MCU195021,ARM Cortex-M7,48,32,1,4.0,"USB, CAN, PWM",2.42,0.726,16,3.3,BGA,2013,Medical
