Producator,Model,Arhitectura,Frecventa_MHz,Flash_KB,RAM_KB,EEPROM_KB,Magistrale,Pret_USD,Consum_W,IO_Pins,Tensiune_V,Pachet,An_Lansare,Aplicatie
Texas Instruments,TEX-MCU450000,ARM Cortex-M7,240,256,2,2.0,"UART, PWM, Ethernet, CAN",8.1,1.499,38,1.8,SOIC,2016,Automotive
Silicon Labs,SIL-MCU450001,ARM Cortex-M4,480,64,1,2.0,"CAN, I2C, UART, Ethernet",8.9,1.138,7,2.5,BGA,2022,Medical
Texas Instruments,TEX-MCU450002,ARM Cortex-M7,8,32,1,2.0,"I2C, PWM",1.74,1.313,69,2.5,BGA,2010,Consumer
Texas Instruments,TEX-MCU450003,8051,32,64,1,1.0,"SPI, Ethernet",8.96,0.25,84,1.8,TSSOP,2012,IoT
Microchip,MIC-MCU450004,ARM Cortex-M4,16,128,128,0.0,"SPI, CAN, Ethernet",8.63,0.026,14,5.0,SOIC,2017,Consumer
NXP,NXP-MCU450005,MIPS32,48,64,2,0.0,"SPI, I2C, CAN",2.72,0.488,78,5.0,TSSOP,2005,Industrial
Silicon Labs,SIL-MCU450006,8051,120,256,16,8.0,"SPI, UART",11.69,1.345,15,3.3,QFN,2010,Industrial
Espressif,ESP-MCU450007,RISC-V,72,32,128,0.0,"PWM, USB, UART, Ethernet, CAN",2.09,0.693,42,1.8,TSSOP,2016,Consumer
Infineon,INF-MCU450008,ARM Cortex-M7,16,2048,1,8.0,"I2C, PWM, USB, Ethernet",8.0,0.595,71,1.8,BGA,2021,Wearable
Nordic Semiconductor,NOR-MCU450009,ARM Cortex-M4,48,512,4,1.0,"SPI, PWM, I2C, USB",7.68,1.486,74,2.5,QFN,2024,Wearable
Nordic Semiconductor,NOR-MCU450010,ARM Cortex-M3,480,2048,1,4.0,"UART, PWM, Ethernet",11.72,1.223,9,5.0,LQFP,2019,Consumer
Analog Devices,ANA-MCU450011,ARM Cortex-M3,200,64,32,0.0,"I2C, CAN, USB, UART, Ethernet",5.49,0.746,52,5.0,LQFP,2015,Consumer
Espressif,ESP-MCU450012,RISC-V,48,2048,512,1.0,"SPI, CAN",1.53,1.301,71,5.0,SOIC,2013,Automotive
Nordic Semiconductor,NOR-MCU450013,RISC-V,8,64,32,0.0,"Ethernet, SPI, UART",11.05,0.341,62,3.3,QFN,2017,Industrial
NXP,NXP-MCU450014,ARM Cortex-M4,48,512,16,0.0,"CAN, UART, PWM",7.08,1.348,50,5.0,LQFP,2014,Industrial
STMicroelectronics,STM-MCU450015,ARM Cortex-M0,240,1024,2,8.0,"Ethernet, USB",7.51,1.35,69,5.0,QFN,2024,Industrial
Infineon,INF-MCU450016,AVR 8-bit,120,1024,128,1.0,"CAN, I2C",9.54,1.426,14,1.8,LQFP,2024,Wearable
NXP,NXP-MCU450017,ARM Cortex-M0,480,128,32,8.0,"CAN, Ethernet, SPI",2.65,1.262,36,3.3,TSSOP,2014,Medical
Renesas,REN-MCU450018,ARM Cortex-M0,480,16,1,8.0,"CAN, USB, SPI, I2C, Ethernet",5.58,0.133,90,2.5,BGA,2012,Medical
Infineon,INF-MCU450019,ARM Cortex-M7,480,128,512,8.0,"SPI, CAN, UART, PWM",7.89,0.619,99,5.0,SOIC,2013,Wearable
STMicroelectronics,STM-MCU450020,RISC-V,72,256,1,2.0,"PWM, Ethernet, USB, I2C, UART",10.21,1.273,36,2.5,SOIC,2012,Industrial
Analog Devices,ANA-MCU450021,ARM Cortex-M3,168,512,2,2.0,"Ethernet, SPI",11.28,0.605,35,2.5,TSSOP,2015,Medical
Microchip,MIC-MCU450022,ARM Cortex-M4,480,128,16,8.0,"I2C, Ethernet, SPI, UART, CAN",7.66,1.248,78,2.5,BGA,2016,Consumer
Microchip,MIC-MCU450023,ARM Cortex-M3,240,256,128,4.0,"PWM, SPI, CAN, Ethernet, I2C",2.98,0.369,64,3.3,DIP,2019,Medical
Renesas,REN-MCU450024,ARM Cortex-M3,8,32,64,4.0,"USB, CAN, SPI",9.48,1.346,40,2.5,LQFP,2020,IoT
Analog Devices,ANA-MCU450025,ARM Cortex-M3,120,16,512,2.0,"UART, CAN",5.71,1.278,30,5.0,DIP,2008,Industrial
Renesas,REN-MCU450026,ARM Cortex-M7,8,2048,32,2.0,"UART, Ethernet, CAN",8.44,0.589,35,2.5,QFN,2022,Industrial
Renesas,REN-MCU450027,ARM Cortex-M3,48,32,256,2.0,"CAN, PWM, UART, SPI",0.87,0.677,22,1.8,BGA,2016,Medical
Espressif,ESP-MCU450028,8051,16,32,1,0.5,"I2C, Ethernet, SPI, CAN",3.74,0.118,63,3.3,DIP,2022,Consumer
Espressif,ESP-MCU450029,ARM Cortex-M7,240,128,512,4.0,"CAN, USB, SPI, I2C, UART",11.68,1.173,90,5.0,BGA,2020,Consumer
Microchip,MIC-MCU450030,ARM Cortex-M7,16,512,4,0.5,"UART, PWM, SPI, I2C, USB",10.15,1.219,31,5.0,BGA,2018,IoT
NXP,NXP-MCU450031,AVR 8-bit,72,256,128,2.0,"CAN, PWM",1.24,0.163,35,1.8,TSSOP,2018,Automotive
Microchip,MIC-MCU450032,ARM Cortex-M3,168,512,32,8.0,"CAN, SPI, PWM, USB",10.95,0.15,19,3.3,SOIC,2015,IoT
Infineon,INF-MCU450033,ARM Cortex-M7,480,256,2,8.0,"Ethernet, USB",11.61,0.307,46,2.5,BGA,2023,Industrial
Analog Devices,ANA-MCU450034,ARM Cortex-M0,120,64,128,4.0,"I2C, SPI, PWM, USB, CAN",7.34,0.641,93,1.8,DIP,2013,Industrial
Analog Devices,ANA-MCU450035,ARM Cortex-M7,16,1024,16,8.0,"I2C, UART, PWM, CAN",8.48,1.306,52,1.8,TSSOP,2018,Industrial
Texas Instruments,TEX-MCU450036,MIPS32,168,512,256,8.0,"UART, SPI",9.44,1.146,27,2.5,DIP,2024,Consumer
Microchip,MIC-MCU450037,8051,120,128,64,0.5,"CAN, I2C, SPI, Ethernet",9.42,0.27,77,1.8,QFN,2023,IoT
STMicroelectronics,STM-MCU450038,RISC-V,120,128,128,8.0,"PWM, SPI, CAN, USB",8.45,1.29,49,3.3,TSSOP,2023,Wearable
Nordic Semiconductor,NOR-MCU450039,RISC-V,8,1024,128,2.0,"UART, PWM, CAN",9.03,0.607,39,2.5,QFN,2012,Industrial
Analog Devices,ANA-MCU450040,ARM Cortex-M0,480,512,64,1.0,"UART, CAN, I2C, Ethernet",1.4,0.794,8,1.8,QFN,2015,Wearable
Nordic Semiconductor,NOR-MCU450041,MIPS32,32,32,4,0.5,"SPI, PWM, UART, USB, CAN",7.2,0.467,18,3.3,BGA,2017,Consumer
Renesas,REN-MCU450042,MIPS32,32,128,8,2.0,"USB, SPI, I2C, Ethernet",3.04,0.748,75,3.3,SOIC,2016,Medical
STMicroelectronics,STM-MCU450043,MIPS32,72,1024,4,0.5,"PWM, I2C, SPI, USB",10.8,0.47,68,5.0,QFN,2011,Industrial
NXP,NXP-MCU450044,ARM Cortex-M4,48,1024,8,4.0,"Ethernet, I2C, SPI",8.71,0.806,90,2.5,LQFP,2017,Automotive
Microchip,MIC-MCU450045,RISC-V,32,128,32,8.0,"PWM, CAN",7.27,0.375,60,1.8,DIP,2021,Industrial
STMicroelectronics,STM-MCU450046,RISC-V,72,1024,32,2.0,"PWM, USB, CAN, I2C, SPI",7.03,0.68,38,5.0,BGA,2010,Wearable
Renesas,REN-MCU450047,ARM Cortex-M4,32,2048,512,4.0,"PWM, I2C, UART, CAN",9.83,1.067,83,3.3,LQFP,2009,Medical
Analog Devices,ANA-MCU450048,ARM Cortex-M7,48,32,2,4.0,"PWM, USB, CAN, SPI",1.45,0.919,92,2.5,LQFP,2015,Consumer
Nordic Semiconductor,NOR-MCU450049,ARM Cortex-M0,72,256,256,0.0,"Ethernet, USB",2.67,1.441,90,3.3,TSSOP,2020,Consumer
Renesas,REN-MCU450050,ARM Cortex-M7,480,512,2,2.0,"USB, SPI",9.88,0.868,58,1.8,LQFP,2014,Medical
Analog Devices,ANA-MCU450051,RISC-V,8,1024,8,8.0,"USB, I2C, PWM, CAN",7.97,0.862,6,5.0,BGA,2007,Industrial
Nordic Semiconductor,NOR-MCU450052,ARM Cortex-M3,8,1024,64,8.0,"UART, Ethernet",11.63,1.117,44,3.3,DIP,2006,Consumer
Renesas,REN-MCU450053,ARM Cortex-M4,16,2048,128,2.0,"SPI, PWM, UART, CAN, USB",1.95,0.788,35,2.5,BGA,2018,Automotive
Silicon Labs,SIL-MCU450054,ARM Cortex-M0,168,2048,128,8.0,"I2C, UART, Ethernet, USB",4.36,1.157,59,2.5,LQFP,2024,Medical
Nordic Semiconductor,NOR-MCU450055,MIPS32,200,1024,16,1.0,"I2C, USB, UART, CAN, PWM",2.81,1.348,98,5.0,TSSOP,2020,Industrial
Silicon Labs,SIL-MCU450056,ARM Cortex-M0,32,256,2,1.0,"UART, I2C, PWM",11.31,0.173,62,5.0,BGA,2014,IoT
STMicroelectronics,STM-MCU450057,MIPS32,240,2048,2,4.0,"SPI, I2C",6.1,0.715,25,1.8,QFN,2008,Industrial
NXP,NXP-MCU450058,ARM Cortex-M7,72,128,32,1.0,"I2C, CAN, USB",5.62,0.431,88,1.8,LQFP,2009,IoT
Texas Instruments,TEX-MCU450059,8051,8,16,16,2.0,"UART, USB",5.57,0.425,92,3.3,DIP,2009,Consumer
Analog Devices,ANA-MCU450060,ARM Cortex-M3,200,64,1,1.0,"USB, UART, CAN",3.55,0.025,25,2.5,QFN,2006,Industrial
NXP,NXP-MCU450061,8051,168,2048,4,8.0,"PWM, UART",1.71,1.378,59,3.3,BGA,2021,Wearable
Texas Instruments,TEX-MCU450062,8051,8,16,4,8.0,"UART, SPI, USB, CAN, PWM",3.96,0.45,80,5.0,DIP,2015,IoT
Silicon Labs,SIL-MCU450063,AVR 8-bit,72,32,512,1.0,"CAN, Ethernet, PWM, UART",10.52,1.411,91,2.5,QFN,2006,Industrial
Analog Devices,ANA-MCU450064,AVR 8-bit,48,128,128,0.5,"I2C, UART",11.92,0.174,21,1.8,SOIC,2011,Medical
Infineon,INF-MCU450065,AVR 8-bit,72,16,256,8.0,"I2C, CAN, SPI, USB",3.87,1.483,32,2.5,DIP,2021,Automotive
NXP,NXP-MCU450066,RISC-V,240,1024,512,1.0,"SPI, Ethernet",1.28,0.855,17,3.3,BGA,2011,Medical
