Producator,Model,Arhitectura,Frecventa_MHz,Flash_KB,RAM_KB,EEPROM_KB,Magistrale,Pret_USD,Consum_W,IO_Pins,Tensiune_V,Pachet,An_Lansare,Aplicatie
Texas Instruments,TEX-MCU470000,MIPS32,48,16,32,4.0,"I2C, USB",6.07,0.689,27,3.3,DIP,2016,Medical
Microchip,MIC-MCU470001,ARM Cortex-M7,48,16,8,8.0,"USB, PWM, CAN, I2C",3.04,1.113,20,2.5,BGA,2015,Industrial
Silicon Labs,SIL-MCU470002,ARM Cortex-M4,168,256,1,0.5,"PWM, USB, I2C",4.31,0.401,41,3.3,SOIC,2010,Industrial
STMicroelectronics,STM-MCU470003,ARM Cortex-M3,32,128,1,2.0,"PWM, SPI",5.96,0.236,99,1.8,QFN,2011,Automotive
Renesas,REN-MCU470004,ARM Cortex-M4,16,512,1,8.0,"SPI, I2C, PWM, UART",8.73,0.557,23,1.8,DIP,2005,IoT
Microchip,MIC-MCU470005,ARM Cortex-M7,8,32,8,1.0,"USB, I2C",11.87,0.775,68,1.8,DIP,2007,Wearable
STMicroelectronics,STM-MCU470006,RISC-V,168,128,2,0.0,"USB, Ethernet, SPI, UART, CAN",8.1,1.101,22,2.5,SOIC,2023,Medical
STMicroelectronics,STM-MCU470007,ARM Cortex-M4,48,1024,16,1.0,"USB, SPI, UART",10.27,1.104,69,2.5,LQFP,2021,Wearable
Nordic Semiconductor,NOR-MCU470008,AVR 8-bit,32,16,128,1.0,"CAN, SPI, UART, I2C",3.03,1.174,84,1.8,BGA,2008,Industrial
Silicon Labs,SIL-MCU470009,ARM Cortex-M3,480,1024,512,0.0,"UART, SPI, I2C",10.36,0.102,6,5.0,DIP,2013,Medical
STMicroelectronics,STM-MCU470010,ARM Cortex-M0,480,2048,8,0.0,"UART, CAN, I2C, SPI",11.82,0.591,84,3.3,TSSOP,2014,Medical
Espressif,ESP-MCU470011,8051,72,1024,128,4.0,"PWM, SPI, I2C, CAN",4.87,0.469,52,5.0,BGA,2015,IoT
Microchip,MIC-MCU470012,ARM Cortex-M0,200,256,1,0.0,"PWM, I2C, UART, CAN, SPI",3.6,0.967,38,1.8,BGA,2005,Consumer
Analog Devices,ANA-MCU470013,MIPS32,16,2048,2,1.0,"PWM, UART",3.85,0.866,15,3.3,SOIC,2009,Medical
Infineon,INF-MCU470014,ARM Cortex-M4,120,16,2,1.0,"Ethernet, I2C",9.28,1.178,82,5.0,BGA,2016,Medical
Analog Devices,ANA-MCU470015,ARM Cortex-M7,48,16,2,8.0,"UART, SPI",9.84,0.645,8,1.8,BGA,2018,Medical
Infineon,INF-MCU470016,ARM Cortex-M4,72,512,1,2.0,"CAN, UART, PWM",2.68,0.942,28,2.5,SOIC,2008,Wearable
Renesas,REN-MCU470017,ARM Cortex-M4,120,128,32,8.0,"Ethernet, SPI, USB",6.32,1.262,57,3.3,LQFP,2012,Medical
Infineon,INF-MCU470018,AVR 8-bit,168,1024,1,1.0,"USB, SPI, UART",5.8,1.031,62,5.0,BGA,2007,Medical
Microchip,MIC-MCU470019,RISC-V,480,128,16,2.0,"PWM, CAN, SPI, USB, Ethernet",2.93,1.0,40,2.5,DIP,2021,IoT
Texas Instruments,TEX-MCU470020,ARM Cortex-M3,8,32,2,2.0,"USB, UART",2.01,0.574,65,2.5,QFN,2021,Consumer
Nordic Semiconductor,NOR-MCU470021,ARM Cortex-M4,240,1024,64,0.0,"I2C, UART, PWM",7.45,0.243,13,2.5,SOIC,2024,Industrial
Microchip,MIC-MCU470022,8051,480,64,8,0.5,"USB, SPI, UART, PWM",6.55,0.802,67,5.0,BGA,2024,Medical
Espressif,ESP-MCU470023,AVR 8-bit,200,64,512,4.0,"I2C, SPI",8.55,0.708,24,2.5,SOIC,2021,Automotive
Texas Instruments,TEX-MCU470024,ARM Cortex-M0,48,16,16,2.0,"Ethernet, PWM, I2C, CAN, USB",11.5,0.067,90,5.0,SOIC,2023,Automotive
Nordic Semiconductor,NOR-MCU470025,8051,168,16,32,2.0,"Ethernet, USB, I2C",9.93,1.206,26,5.0,QFN,2010,Automotive
NXP,NXP-MCU470026,RISC-V,240,2048,16,0.5,"CAN, Ethernet",3.37,1.32,94,3.3,QFN,2022,IoT
Analog Devices,ANA-MCU470027,ARM Cortex-M4,16,64,32,4.0,"PWM, USB, UART, Ethernet, I2C",4.02,0.023,12,5.0,DIP,2011,Consumer
NXP,NXP-MCU470028,ARM Cortex-M0,240,64,8,2.0,"PWM, CAN, UART, I2C, Ethernet",8.03,0.633,7,2.5,QFN,2015,Industrial
Renesas,REN-MCU470029,ARM Cortex-M7,240,128,32,1.0,"Ethernet, USB, CAN, PWM",5.23,1.109,89,5.0,QFN,2023,IoT
Nordic Semiconductor,NOR-MCU470030,RISC-V,168,128,512,2.0,"CAN, PWM, USB, SPI",7.48,1.479,21,5.0,TSSOP,2011,Automotive
Espressif,ESP-MCU470031,ARM Cortex-M3,48,32,512,1.0,"UART, CAN",4.58,0.282,34,5.0,BGA,2021,Medical
