Producator,Model,Arhitectura,Frecventa_MHz,Flash_KB,RAM_KB,EEPROM_KB,Magistrale,Pret_USD,Consum_W,IO_Pins,Tensiune_V,Pachet,An_Lansare,Aplicatie
Silicon Labs,SIL-MCU380000,8051,8,32,16,8.0,"CAN, UART, USB, PWM",5.11,0.382,28,5.0,DIP,2016,Medical
NXP,NXP-MCU380001,ARM Cortex-M3,240,128,256,0.0,"Ethernet, USB, SPI, PWM, I2C",4.09,1.099,98,1.8,LQFP,2015,Medical
Espressif,ESP-MCU380002,ARM Cortex-M3,120,32,16,1.0,"CAN, UART",3.43,0.843,72,1.8,LQFP,2021,Automotive
STMicroelectronics,STM-MCU380003,RISC-V,200,2048,64,2.0,"I2C, PWM, UART",11.41,1.436,85,2.5,TSSOP,2007,Industrial
Microchip,MIC-MCU380004,AVR 8-bit,32,1024,2,4.0,"UART, USB, CAN, I2C, SPI",4.79,0.931,56,1.8,BGA,2008,Industrial
Microchip,MIC-MCU380005,AVR 8-bit,32,256,128,1.0,"I2C, Ethernet, PWM",10.08,0.308,25,5.0,DIP,2017,IoT
Texas Instruments,TEX-MCU380006,AVR 8-bit,32,128,128,0.5,"SPI, CAN, Ethernet, I2C, UART",4.95,0.066,28,3.3,QFN,2021,Industrial
Espressif,ESP-MCU380007,ARM Cortex-M0,168,128,256,0.5,"USB, I2C",6.65,1.182,31,2.5,QFN,2022,Industrial
NXP,NXP-MCU380008,RISC-V,72,32,8,4.0,"I2C, Ethernet, USB",7.6,0.684,29,5.0,TSSOP,2022,Wearable
Nordic Semiconductor,NOR-MCU380009,AVR 8-bit,16,16,4,1.0,"SPI, PWM, CAN, I2C",7.81,0.048,13,5.0,SOIC,2005,Medical
Espressif,ESP-MCU380010,ARM Cortex-M4,16,32,2,0.0,"PWM, Ethernet",9.27,0.947,88,1.8,LQFP,2018,IoT
Microchip,MIC-MCU380011,ARM Cortex-M4,72,2048,4,0.5,"UART, PWM, I2C, CAN",11.77,0.591,51,1.8,SOIC,2006,IoT
Texas Instruments,TEX-MCU380012,AVR 8-bit,48,256,2,1.0,"SPI, UART",5.09,0.461,67,5.0,BGA,2018,Consumer
Espressif,ESP-MCU380013,AVR 8-bit,48,512,256,0.5,"SPI, CAN",4.21,1.453,39,1.8,TSSOP,2009,Consumer
Nordic Semiconductor,NOR-MCU380014,8051,480,2048,256,2.0,"SPI, UART, Ethernet, I2C",9.95,0.812,12,2.5,DIP,2015,IoT
Renesas,REN-MCU380015,RISC-V,48,2048,4,0.5,"I2C, USB, CAN, UART",4.22,1.451,81,5.0,SOIC,2017,Industrial
Espressif,ESP-MCU380016,RISC-V,32,2048,128,0.5,"Ethernet, CAN, PWM, SPI, UART",10.46,0.581,68,2.5,QFN,2011,IoT
Microchip,MIC-MCU380017,MIPS32,32,16,32,0.5,"USB, CAN, Ethernet, PWM",4.91,0.062,95,5.0,SOIC,2021,Wearable
STMicroelectronics,STM-MCU380018,ARM Cortex-M0,240,256,32,0.0,"UART, SPI, PWM, USB, I2C",7.22,0.978,70,3.3,LQFP,2017,IoT
Nordic Semiconductor,NOR-MCU380019,RISC-V,32,64,32,8.0,"PWM, USB, UART, CAN, Ethernet",4.72,1.215,68,3.3,LQFP,2019,Wearable
Analog Devices,ANA-MCU380020,ARM Cortex-M7,168,2048,128,0.0,"PWM, USB",8.37,0.257,43,2.5,TSSOP,2016,Medical
Nordic Semiconductor,NOR-MCU380021,8051,32,256,4,8.0,"SPI, USB, Ethernet, CAN",10.36,0.423,20,1.8,DIP,2019,Automotive
Espressif,ESP-MCU380022,ARM Cortex-M3,168,256,64,0.0,"CAN, UART",11.97,1.298,46,2.5,DIP,2024,Wearable
Texas Instruments,TEX-MCU380023,ARM Cortex-M3,8,64,8,0.0,"Ethernet, SPI, CAN, USB, UART",9.29,0.977,47,3.3,DIP,2010,Medical
NXP,NXP-MCU380024,8051,480,256,16,1.0,"I2C, Ethernet, UART, PWM, USB",9.99,1.124,86,3.3,TSSOP,2021,Automotive
Analog Devices,ANA-MCU380025,AVR 8-bit,480,2048,512,0.5,"PWM, SPI",11.46,0.302,54,3.3,SOIC,2021,Medical
Infineon,INF-MCU380026,ARM Cortex-M0,16,256,64,4.0,"CAN, SPI, PWM, UART",4.73,1.053,23,3.3,QFN,2023,Medical
NXP,NXP-MCU380027,ARM Cortex-M4,120,64,32,8.0,"UART, I2C, SPI, Ethernet",8.03,1.092,7,5.0,LQFP,2011,Industrial
NXP,NXP-MCU380028,MIPS32,240,128,32,0.5,"UART, CAN, PWM, Ethernet, SPI",10.4,0.149,57,2.5,QFN,2015,Consumer
Espressif,ESP-MCU380029,MIPS32,120,1024,1,8.0,"I2C, PWM, UART, Ethernet, USB",4.01,0.976,28,5.0,LQFP,2021,IoT
Nordic Semiconductor,NOR-MCU380030,ARM Cortex-M4,48,1024,2,1.0,"PWM, UART, CAN, SPI",11.01,0.211,16,2.5,BGA,2012,Automotive
Infineon,INF-MCU380031,ARM Cortex-M0,8,64,16,1.0,"PWM, I2C",11.01,0.283,75,3.3,LQFP,2011,Medical
NXP,NXP-MCU380032,MIPS32,72,2048,8,2.0,"I2C, CAN, PWM, USB, UART",4.43,0.352,41,2.5,SOIC,2019,Automotive
NXP,NXP-MCU380033,8051,48,512,1,1.0,"UART, PWM, SPI",7.52,0.891,33,3.3,SOIC,2014,Wearable
Nordic Semiconductor,NOR-MCU380034,8051,200,512,4,0.0,"UART, USB",1.87,0.484,80,5.0,DIP,2009,Consumer
NXP,NXP-MCU380035,8051,168,256,32,0.5,"UART, CAN",4.69,1.316,94,3.3,SOIC,2021,Wearable
Espressif,ESP-MCU380036,AVR 8-bit,72,64,32,0.0,"UART, Ethernet",3.31,0.384,60,3.3,SOIC,2015,Medical
Silicon Labs,SIL-MCU380037,RISC-V,48,256,64,0.5,"Ethernet, I2C, CAN, USB",2.13,0.85,38,2.5,SOIC,2018,Industrial
Renesas,REN-MCU380038,RISC-V,48,1024,2,8.0,"I2C, PWM, CAN",3.08,0.428,89,1.8,BGA,2011,IoT
Microchip,MIC-MCU380039,RISC-V,48,256,1,0.0,"Ethernet, CAN, UART, PWM, I2C",4.58,0.518,67,5.0,QFN,2017,IoT
Infineon,INF-MCU380040,MIPS32,32,128,256,4.0,"I2C, PWM, UART",10.26,0.836,86,3.3,QFN,2018,Wearable
Microchip,MIC-MCU380041,MIPS32,32,512,512,2.0,"SPI, CAN, PWM, Ethernet",2.26,0.519,32,1.8,QFN,2007,Consumer
Nordic Semiconductor,NOR-MCU380042,ARM Cortex-M7,480,16,32,8.0,"USB, I2C, CAN, SPI",2.27,0.061,92,3.3,DIP,2007,Wearable
Infineon,INF-MCU380043,ARM Cortex-M4,168,512,256,0.0,"CAN, PWM",7.0,0.701,19,1.8,TSSOP,2020,IoT
STMicroelectronics,STM-MCU380044,ARM Cortex-M0,200,512,512,2.0,"I2C, CAN",8.84,1.2,53,5.0,QFN,2022,Consumer
Espressif,ESP-MCU380045,ARM Cortex-M4,8,1024,32,1.0,"USB, I2C, SPI, Ethernet, UART",8.58,1.208,32,5.0,SOIC,2013,Automotive
Silicon Labs,SIL-MCU380046,RISC-V,240,16,1,8.0,"CAN, PWM, Ethernet",11.06,0.736,80,3.3,TSSOP,2005,Automotive
NXP,NXP-MCU380047,RISC-V,200,2048,2,0.0,"UART, Ethernet, I2C",6.06,0.593,64,1.8,TSSOP,2020,IoT
Renesas,REN-MCU380048,RISC-V,168,512,32,0.0,"USB, PWM, SPI",3.61,0.942,97,1.8,QFN,2012,Medical
Texas Instruments,TEX-MCU380049,ARM Cortex-M4,8,1024,4,8.0,"USB, CAN, PWM",3.02,1.038,58,5.0,QFN,2018,IoT
Analog Devices,ANA-MCU380050,ARM Cortex-M7,72,16,256,2.0,"I2C, USB",3.51,1.396,6,1.8,QFN,2016,Industrial
NXP,NXP-MCU380051,ARM Cortex-M7,120,256,512,8.0,"Ethernet, PWM, USB, CAN",7.93,0.676,37,2.5,LQFP,2015,Industrial
NXP,NXP-MCU380052,8051,8,256,256,8.0,"PWM, UART",5.26,0.454,40,2.5,QFN,2024,Consumer
Nordic Semiconductor,NOR-MCU380053,MIPS32,16,128,64,1.0,"Ethernet, USB, SPI, PWM, I2C",4.84,0.259,28,2.5,LQFP,2018,Medical
STMicroelectronics,STM-MCU380054,MIPS32,48,2048,8,8.0,"Ethernet, UART, USB",4.18,1.356,69,5.0,DIP,2018,Medical
Nordic Semiconductor,NOR-MCU380055,ARM Cortex-M3,480,64,64,1.0,"UART, SPI, CAN, Ethernet",6.38,1.321,89,3.3,SOIC,2009,Medical
Renesas,REN-MCU380056,ARM Cortex-M0,32,128,16,2.0,"CAN, UART, PWM, USB",2.98,1.382,64,1.8,TSSOP,2014,Consumer
Nordic Semiconductor,NOR-MCU380057,RISC-V,120,1024,16,4.0,"Ethernet, UART, CAN, I2C",1.99,1.046,34,1.8,DIP,2006,Consumer
Microchip,MIC-MCU380058,8051,16,64,8,0.0,"Ethernet, SPI, CAN, USB, UART",8.71,1.145,89,1.8,DIP,2020,Consumer
Analog Devices,ANA-MCU380059,RISC-V,168,128,512,2.0,"USB, CAN, Ethernet, I2C, UART",10.66,0.474,41,3.3,DIP,2019,Automotive
Infineon,INF-MCU380060,ARM Cortex-M3,32,64,32,4.0,"I2C, CAN, SPI, USB",3.11,0.114,42,3.3,TSSOP,2024,Consumer
Renesas,REN-MCU380061,ARM Cortex-M4,8,256,128,0.0,"USB, I2C, CAN, PWM",11.52,0.725,39,1.8,TSSOP,2015,IoT
Espressif,ESP-MCU380062,ARM Cortex-M7,240,16,1,0.0,"PWM, USB, SPI, I2C",0.57,0.796,81,3.3,TSSOP,2013,IoT
Renesas,REN-MCU380063,RISC-V,120,512,8,4.0,"CAN, SPI",11.04,0.452,16,1.8,SOIC,2010,Industrial
Analog Devices,ANA-MCU380064,ARM Cortex-M3,168,1024,128,0.5,"CAN, USB, Ethernet",10.72,0.623,92,1.8,TSSOP,2006,IoT
Analog Devices,ANA-MCU380065,8051,48,256,32,4.0,"SPI, USB, I2C",0.68,1.325,52,2.5,QFN,2016,Consumer
Renesas,REN-MCU380066,ARM Cortex-M7,168,64,16,1.0,"UART, Ethernet, I2C",0.78,0.857,53,2.5,SOIC,2017,Wearable
STMicroelectronics,STM-MCU380067,AVR 8-bit,240,32,8,0.0,"Ethernet, CAN, SPI, USB, UART",2.22,0.93,74,5.0,QFN,2014,IoT
Renesas,REN-MCU380068,8051,72,128,2,0.0,"CAN, USB, UART, PWM",9.3,0.835,53,1.8,TSSOP,2016,Medical
Analog Devices,ANA-MCU380069,ARM Cortex-M7,200,256,2,0.5,"CAN, UART, PWM",1.0,1.181,82,5.0,LQFP,2009,IoT
Nordic Semiconductor,NOR-MCU380070,ARM Cortex-M7,16,512,128,4.0,"UART, Ethernet",0.84,0.847,10,5.0,TSSOP,2007,Consumer
Microchip,MIC-MCU380071,ARM Cortex-M7,32,32,8,4.0,"Ethernet, I2C",5.25,1.336,32,5.0,TSSOP,2017,Wearable
Microchip,MIC-MCU380072,ARM Cortex-M3,16,2048,2,4.0,"UART, I2C",1.44,0.509,60,5.0,DIP,2016,Industrial
STMicroelectronics,STM-MCU380073,RISC-V,48,2048,2,0.5,"CAN, Ethernet",1.08,0.952,67,1.8,BGA,2008,IoT
