Producator,Model,Arhitectura,Frecventa_MHz,Flash_KB,RAM_KB,EEPROM_KB,Magistrale,Pret_USD,Consum_W,IO_Pins,Tensiune_V,Pachet,An_Lansare,Aplicatie
Analog Devices,ANA-MCU455000,MIPS32,32,256,256,4.0,"UART, Ethernet, USB",9.01,0.976,11,3.3,QFN,2017,Wearable
Silicon Labs,SIL-MCU455001,ARM Cortex-M4,480,64,8,0.5,"UART, PWM, Ethernet, I2C",3.9,1.381,8,1.8,SOIC,2005,IoT
Texas Instruments,TEX-MCU455002,8051,200,64,8,4.0,"I2C, USB",10.81,1.006,17,3.3,TSSOP,2011,Wearable
Renesas,REN-MCU455003,ARM Cortex-M0,120,32,4,2.0,"SPI, USB, PWM, Ethernet, I2C",7.18,0.432,76,1.8,TSSOP,2005,Wearable
Texas Instruments,TEX-MCU455004,MIPS32,16,32,8,8.0,"I2C, SPI",3.63,0.773,95,2.5,QFN,2014,Industrial
NXP,NXP-MCU455005,ARM Cortex-M0,240,512,2,0.5,"CAN, Ethernet",5.39,0.744,21,1.8,SOIC,2008,IoT
STMicroelectronics,STM-MCU455006,RISC-V,16,1024,128,4.0,"UART, USB, PWM, CAN",4.16,0.663,61,1.8,LQFP,2013,Consumer
Silicon Labs,SIL-MCU455007,8051,32,1024,16,1.0,"SPI, CAN, USB, Ethernet",1.68,1.412,16,1.8,BGA,2018,Automotive
Infineon,INF-MCU455008,8051,32,32,128,0.5,"Ethernet, UART, SPI, PWM, I2C",1.24,0.557,94,2.5,SOIC,2007,Wearable
Analog Devices,ANA-MCU455009,RISC-V,200,16,64,8.0,"SPI, USB",3.84,0.63,59,2.5,QFN,2016,IoT
Texas Instruments,TEX-MCU455010,8051,16,512,512,2.0,"PWM, I2C",7.76,0.868,29,3.3,BGA,2009,Consumer
Espressif,ESP-MCU455011,8051,240,512,4,0.0,"I2C, Ethernet, SPI",4.54,1.389,28,3.3,QFN,2018,Industrial
NXP,NXP-MCU455012,AVR 8-bit,480,32,1,4.0,"USB, CAN, PWM, UART",1.56,1.256,18,5.0,BGA,2005,IoT
NXP,NXP-MCU455013,8051,16,2048,4,0.0,"USB, CAN",3.67,1.0,72,5.0,TSSOP,2020,Wearable
NXP,NXP-MCU455014,MIPS32,240,32,32,2.0,"Ethernet, USB, I2C",6.74,0.332,44,2.5,BGA,2021,Consumer
Texas Instruments,TEX-MCU455015,ARM Cortex-M4,16,512,2,0.5,"Ethernet, USB, I2C, PWM",0.93,1.281,31,5.0,DIP,2009,Automotive
Silicon Labs,SIL-MCU455016,ARM Cortex-M4,48,2048,1,2.0,"UART, CAN, PWM",11.32,0.195,86,3.3,SOIC,2006,Industrial
STMicroelectronics,STM-MCU455017,RISC-V,120,256,16,2.0,"Ethernet, I2C, CAN, PWM, SPI",3.76,0.443,29,5.0,LQFP,2015,Industrial
Renesas,REN-MCU455018,RISC-V,240,2048,1,2.0,"PWM, SPI, I2C",6.29,0.247,67,5.0,QFN,2005,IoT
NXP,NXP-MCU455019,ARM Cortex-M3,168,32,256,2.0,"PWM, CAN, USB",11.11,0.519,62,1.8,QFN,2011,Wearable
Microchip,MIC-MCU455020,ARM Cortex-M0,16,512,1,2.0,"SPI, I2C, UART",5.11,0.889,72,1.8,LQFP,2022,Wearable
Silicon Labs,SIL-MCU455021,ARM Cortex-M3,32,32,4,8.0,"USB, Ethernet, UART, CAN",10.82,0.569,6,3.3,SOIC,2018,Automotive
STMicroelectronics,STM-MCU455022,8051,480,128,2,8.0,"CAN, PWM, SPI",7.67,1.367,35,3.3,DIP,2014,Medical
Texas Instruments,TEX-MCU455023,ARM Cortex-M4,32,1024,128,4.0,"UART, PWM, SPI",3.05,1.349,25,5.0,SOIC,2018,Medical
Espressif,ESP-MCU455024,AVR 8-bit,48,1024,8,1.0,"USB, I2C, CAN, Ethernet, PWM",6.34,0.108,52,2.5,LQFP,2005,Wearable
NXP,NXP-MCU455025,ARM Cortex-M3,168,128,1,1.0,"UART, SPI, Ethernet",2.41,1.068,82,5.0,TSSOP,2019,Automotive
Renesas,REN-MCU455026,ARM Cortex-M4,8,1024,16,8.0,"PWM, I2C, USB, SPI, CAN",8.07,0.469,39,2.5,QFN,2008,IoT
Analog Devices,ANA-MCU455027,ARM Cortex-M3,48,256,256,1.0,"UART, PWM, I2C, SPI, USB",9.81,1.191,83,3.3,LQFP,2006,Consumer
Texas Instruments,TEX-MCU455028,AVR 8-bit,120,1024,2,1.0,"UART, SPI, Ethernet, CAN, PWM",5.75,0.651,58,1.8,LQFP,2006,Consumer
Silicon Labs,SIL-MCU455029,8051,240,64,8,4.0,"CAN, SPI",6.39,1.454,8,2.5,LQFP,2021,Automotive
Espressif,ESP-MCU455030,MIPS32,240,32,32,1.0,"SPI, I2C, Ethernet, UART, CAN",2.33,0.904,48,5.0,BGA,2017,Automotive
Analog Devices,ANA-MCU455031,ARM Cortex-M4,48,32,8,2.0,"SPI, USB, I2C, UART",5.78,0.602,53,1.8,QFN,2008,Wearable
Silicon Labs,SIL-MCU455032,ARM Cortex-M4,72,512,2,2.0,"PWM, UART, CAN, Ethernet, USB",3.55,0.339,44,1.8,TSSOP,2023,Consumer
Nordic Semiconductor,NOR-MCU455033,ARM Cortex-M0,16,512,2,0.5,"Ethernet, PWM",4.45,0.651,30,3.3,DIP,2022,IoT
Renesas,REN-MCU455034,ARM Cortex-M7,8,128,8,0.5,"Ethernet, PWM",3.79,0.286,43,3.3,SOIC,2019,Consumer
Espressif,ESP-MCU455035,ARM Cortex-M3,480,512,2,4.0,"UART, Ethernet, USB, SPI",7.64,1.276,12,3.3,BGA,2011,Automotive
Renesas,REN-MCU455036,8051,8,32,4,4.0,"CAN, UART, SPI, I2C",2.36,0.326,86,5.0,DIP,2017,Medical
Texas Instruments,TEX-MCU455037,AVR 8-bit,8,32,2,0.0,"CAN, USB, I2C",4.51,1.49,34,5.0,TSSOP,2007,Industrial
Espressif,ESP-MCU455038,ARM Cortex-M7,480,128,128,0.5,"I2C, SPI",5.93,0.274,41,1.8,LQFP,2008,Automotive
Silicon Labs,SIL-MCU455039,RISC-V,240,512,8,2.0,"USB, UART, Ethernet, I2C, CAN",1.32,0.769,84,2.5,DIP,2023,Consumer
Infineon,INF-MCU455040,8051,168,128,2,8.0,"CAN, USB, Ethernet, PWM",2.99,0.608,95,2.5,SOIC,2021,Consumer
Analog Devices,ANA-MCU455041,ARM Cortex-M0,200,16,32,0.5,"Ethernet, USB",2.08,0.675,26,5.0,SOIC,2007,IoT
Analog Devices,ANA-MCU455042,AVR 8-bit,8,16,64,1.0,"USB, UART, Ethernet, SPI",7.28,1.019,54,2.5,TSSOP,2009,Industrial
Analog Devices,ANA-MCU455043,ARM Cortex-M3,480,16,16,1.0,"USB, PWM",11.2,1.119,28,2.5,DIP,2006,Industrial
Texas Instruments,TEX-MCU455044,ARM Cortex-M7,240,1024,256,0.5,"I2C, PWM",11.27,0.575,89,3.3,LQFP,2014,Industrial
