Producator,Model,Arhitectura,Frecventa_MHz,Flash_KB,RAM_KB,EEPROM_KB,Magistrale,Pret_USD,Consum_W,IO_Pins,Tensiune_V,Pachet,An_Lansare,Aplicatie
Renesas,REN-MCU340000,ARM Cortex-M7,168,1024,128,2.0,"UART, I2C, USB, PWM",8.99,1.259,40,3.3,TSSOP,2010,Medical
Renesas,REN-MCU340001,AVR 8-bit,16,64,64,8.0,"PWM, USB, I2C, UART, SPI",1.25,0.376,82,1.8,BGA,2022,Consumer
Microchip,MIC-MCU340002,AVR 8-bit,8,512,256,0.0,"I2C, PWM, SPI",2.65,1.403,25,5.0,BGA,2021,Wearable
Silicon Labs,SIL-MCU340003,MIPS32,168,512,32,1.0,"UART, USB",8.87,0.184,52,3.3,BGA,2021,Wearable
Infineon,INF-MCU340004,AVR 8-bit,72,16,32,8.0,"USB, SPI, UART",8.33,0.081,48,2.5,TSSOP,2022,Consumer
Renesas,REN-MCU340005,AVR 8-bit,240,256,4,0.0,"PWM, SPI",1.29,0.109,79,3.3,DIP,2011,Medical
Texas Instruments,TEX-MCU340006,ARM Cortex-M0,200,2048,32,8.0,"UART, I2C, USB",8.15,0.19,87,3.3,LQFP,2019,IoT
Renesas,REN-MCU340007,MIPS32,120,64,1,0.0,"PWM, UART",10.96,0.977,65,5.0,DIP,2014,Consumer
Microchip,MIC-MCU340008,MIPS32,72,64,32,8.0,"USB, I2C",8.54,0.092,95,2.5,QFN,2024,Automotive
Microchip,MIC-MCU340009,RISC-V,8,1024,32,8.0,"CAN, USB, I2C",9.9,1.448,83,1.8,TSSOP,2011,Medical
Silicon Labs,SIL-MCU340010,ARM Cortex-M4,72,256,64,0.5,"SPI, CAN, I2C, Ethernet, UART",6.24,1.276,71,2.5,QFN,2013,Automotive
Analog Devices,ANA-MCU340011,8051,120,512,256,1.0,"USB, Ethernet, CAN, UART, I2C",3.8,0.389,28,5.0,DIP,2017,Consumer
Renesas,REN-MCU340012,ARM Cortex-M7,240,64,8,0.0,"UART, PWM, SPI, I2C",6.71,0.529,36,3.3,TSSOP,2012,Wearable
Nordic Semiconductor,NOR-MCU340013,RISC-V,240,64,256,1.0,"Ethernet, UART, USB, SPI, CAN",10.72,1.368,83,5.0,LQFP,2006,IoT
Renesas,REN-MCU340014,MIPS32,168,1024,512,1.0,"CAN, I2C, UART, PWM, SPI",10.75,1.222,50,3.3,SOIC,2024,Automotive
NXP,NXP-MCU340015,ARM Cortex-M3,240,64,1,8.0,"Ethernet, UART, CAN, PWM, I2C",2.45,0.847,51,1.8,DIP,2016,Automotive
Analog Devices,ANA-MCU340016,ARM Cortex-M3,32,512,128,4.0,"CAN, Ethernet, I2C, PWM",2.39,1.204,74,2.5,QFN,2006,Wearable
Infineon,INF-MCU340017,AVR 8-bit,240,256,256,8.0,"PWM, I2C",4.98,1.474,83,5.0,SOIC,2015,IoT
Nordic Semiconductor,NOR-MCU340018,RISC-V,240,1024,512,1.0,"Ethernet, PWM, UART",2.06,1.461,85,2.5,TSSOP,2021,Wearable
Microchip,MIC-MCU340019,MIPS32,480,2048,1,4.0,"SPI, CAN, I2C, UART, PWM",7.55,0.408,42,1.8,BGA,2019,Industrial
Infineon,INF-MCU340020,RISC-V,32,64,4,0.0,"I2C, SPI, UART, Ethernet, PWM",5.88,0.265,43,1.8,BGA,2019,Wearable
Texas Instruments,TEX-MCU340021,ARM Cortex-M4,120,64,1,0.5,"Ethernet, PWM",2.77,0.378,77,3.3,BGA,2022,IoT
Texas Instruments,TEX-MCU340022,MIPS32,16,1024,16,0.0,"PWM, SPI, USB",11.38,1.391,22,2.5,DIP,2010,Automotive
Texas Instruments,TEX-MCU340023,8051,8,1024,8,8.0,"SPI, Ethernet, UART",7.61,1.368,97,3.3,LQFP,2010,Industrial
Infineon,INF-MCU340024,ARM Cortex-M4,200,1024,8,0.0,"PWM, UART",8.74,1.065,62,5.0,LQFP,2011,Automotive
Analog Devices,ANA-MCU340025,ARM Cortex-M7,168,512,4,0.5,"UART, Ethernet, USB, PWM, CAN",10.6,1.465,35,3.3,BGA,2011,Automotive
Nordic Semiconductor,NOR-MCU340026,AVR 8-bit,240,1024,4,8.0,"USB, UART",0.66,0.556,39,2.5,BGA,2010,Wearable
Texas Instruments,TEX-MCU340027,8051,480,1024,1,2.0,"PWM, CAN, Ethernet, SPI, USB",4.18,0.814,52,1.8,QFN,2015,Consumer
Espressif,ESP-MCU340028,RISC-V,16,512,128,8.0,"USB, CAN",11.96,1.128,63,5.0,DIP,2010,IoT
Nordic Semiconductor,NOR-MCU340029,ARM Cortex-M4,8,32,512,4.0,"PWM, I2C, USB, Ethernet",3.15,1.356,18,1.8,DIP,2013,Wearable
STMicroelectronics,STM-MCU340030,ARM Cortex-M7,48,2048,4,0.5,"UART, USB, I2C",3.99,0.245,42,2.5,TSSOP,2017,Consumer
NXP,NXP-MCU340031,ARM Cortex-M7,120,1024,256,4.0,"PWM, USB, Ethernet",2.44,1.493,29,2.5,LQFP,2023,Wearable
Analog Devices,ANA-MCU340032,MIPS32,480,2048,16,4.0,"CAN, UART",4.64,0.633,79,3.3,BGA,2014,Consumer
Espressif,ESP-MCU340033,MIPS32,32,64,2,0.5,"USB, CAN",5.5,1.146,82,5.0,BGA,2006,Industrial
NXP,NXP-MCU340034,ARM Cortex-M0,120,64,32,1.0,"USB, UART, I2C, SPI",9.18,1.052,30,1.8,TSSOP,2013,Industrial
Nordic Semiconductor,NOR-MCU340035,8051,8,512,2,2.0,"USB, I2C, PWM, UART",10.18,0.821,88,3.3,DIP,2020,Industrial
Espressif,ESP-MCU340036,MIPS32,8,32,2,2.0,"USB, I2C, Ethernet",9.11,1.262,79,5.0,DIP,2020,Wearable
Espressif,ESP-MCU340037,ARM Cortex-M3,240,512,64,0.0,"I2C, UART, USB",2.96,0.984,92,5.0,LQFP,2019,Automotive
Espressif,ESP-MCU340038,8051,200,16,128,0.0,"CAN, USB, I2C, SPI, PWM",6.42,0.183,17,5.0,DIP,2006,IoT
Nordic Semiconductor,NOR-MCU340039,8051,32,512,32,8.0,"SPI, Ethernet, USB, CAN",4.2,0.437,33,1.8,BGA,2020,Industrial
Nordic Semiconductor,NOR-MCU340040,ARM Cortex-M3,168,32,1,0.5,"SPI, I2C",4.42,1.17,31,1.8,TSSOP,2005,Industrial
Espressif,ESP-MCU340041,RISC-V,240,1024,16,0.0,"UART, USB",1.68,0.985,80,1.8,TSSOP,2014,Wearable
Texas Instruments,TEX-MCU340042,8051,48,16,128,1.0,"Ethernet, UART, USB, CAN, I2C",3.84,0.882,90,2.5,BGA,2007,Consumer
Nordic Semiconductor,NOR-MCU340043,AVR 8-bit,480,16,2,2.0,"I2C, SPI, CAN",1.15,0.733,72,5.0,QFN,2011,Consumer
NXP,NXP-MCU340044,AVR 8-bit,200,256,128,4.0,"I2C, CAN, UART, Ethernet, USB",1.33,0.973,63,1.8,QFN,2016,IoT
Analog Devices,ANA-MCU340045,ARM Cortex-M4,480,256,64,1.0,"Ethernet, PWM, USB, CAN, SPI",4.43,0.403,60,3.3,DIP,2021,Automotive
