Producator,Model,Arhitectura,Frecventa_MHz,Flash_KB,RAM_KB,EEPROM_KB,Magistrale,Pret_USD,Consum_W,IO_Pins,Tensiune_V,Pachet,An_Lansare,Aplicatie
Microchip,MIC-MCU465000,8051,120,2048,64,0.0,"UART, SPI",6.27,1.056,72,2.5,QFN,2019,Automotive
Renesas,REN-MCU465001,8051,480,512,1,0.5,"USB, CAN, Ethernet, I2C, SPI",7.48,1.165,11,1.8,QFN,2010,Industrial
Infineon,INF-MCU465002,ARM Cortex-M4,120,128,8,8.0,"Ethernet, PWM, USB",2.59,1.425,35,5.0,SOIC,2014,Consumer
Espressif,ESP-MCU465003,AVR 8-bit,32,512,128,8.0,"PWM, SPI, UART, I2C",2.99,0.316,72,2.5,DIP,2006,Consumer
STMicroelectronics,STM-MCU465004,ARM Cortex-M7,16,128,16,0.0,"UART, CAN",1.48,0.867,73,2.5,TSSOP,2007,Medical
Renesas,REN-MCU465005,MIPS32,48,16,256,4.0,"I2C, SPI, PWM, CAN, USB",11.52,1.168,41,1.8,DIP,2011,Medical
Analog Devices,ANA-MCU465006,ARM Cortex-M7,16,1024,1,8.0,"PWM, SPI, I2C",9.93,1.249,9,3.3,SOIC,2013,Consumer
STMicroelectronics,STM-MCU465007,ARM Cortex-M7,200,1024,4,0.0,"CAN, UART",10.36,1.232,57,2.5,LQFP,2017,Industrial
Renesas,REN-MCU465008,AVR 8-bit,8,2048,64,0.0,"Ethernet, USB, CAN, I2C, PWM",7.4,1.273,98,1.8,TSSOP,2019,Consumer
Renesas,REN-MCU465009,ARM Cortex-M4,16,1024,16,0.5,"PWM, UART, SPI, Ethernet, USB",4.81,0.751,35,1.8,DIP,2011,Wearable
Texas Instruments,TEX-MCU465010,AVR 8-bit,48,32,32,2.0,"CAN, I2C, SPI",4.53,0.157,61,1.8,QFN,2012,Medical
Nordic Semiconductor,NOR-MCU465011,ARM Cortex-M3,200,32,32,4.0,"Ethernet, SPI, I2C, PWM",6.25,1.35,9,1.8,DIP,2020,Medical
Infineon,INF-MCU465012,MIPS32,48,2048,512,4.0,"UART, CAN, PWM",11.41,1.401,11,2.5,QFN,2020,Industrial
Analog Devices,ANA-MCU465013,ARM Cortex-M4,72,256,2,4.0,"PWM, USB, UART, I2C",10.96,0.193,35,5.0,DIP,2022,Wearable
Texas Instruments,TEX-MCU465014,ARM Cortex-M0,48,128,8,0.0,"Ethernet, I2C, USB, CAN",4.35,0.941,11,5.0,LQFP,2007,IoT
STMicroelectronics,STM-MCU465015,AVR 8-bit,168,512,2,1.0,"PWM, CAN, USB, Ethernet",5.83,1.49,18,1.8,SOIC,2024,Wearable
Microchip,MIC-MCU465016,ARM Cortex-M7,240,256,4,1.0,"USB, UART, CAN",4.92,1.475,17,5.0,DIP,2010,Industrial
Nordic Semiconductor,NOR-MCU465017,8051,16,256,16,8.0,"USB, PWM, SPI",9.74,1.195,90,5.0,LQFP,2007,Wearable
Silicon Labs,SIL-MCU465018,ARM Cortex-M0,72,64,256,4.0,"SPI, I2C, USB, CAN, Ethernet",5.39,0.165,82,2.5,QFN,2019,IoT
STMicroelectronics,STM-MCU465019,8051,168,32,2,1.0,"Ethernet, CAN",2.61,1.182,38,1.8,SOIC,2022,IoT
