Producator,Model,Arhitectura,Frecventa_MHz,Flash_KB,RAM_KB,EEPROM_KB,Magistrale,Pret_USD,Consum_W,IO_Pins,Tensiune_V,Pachet,An_Lansare,Aplicatie
Infineon,INF-MCU80000,AVR 8-bit,8,64,4,0.5,"I2C, CAN, PWM, UART",11.16,0.026,64,1.8,QFN,2009,Automotive
NXP,NXP-MCU80001,ARM Cortex-M3,120,16,16,0.5,"SPI, CAN, I2C, USB, PWM",6.0,0.226,29,5.0,DIP,2022,Automotive
Nordic Semiconductor,NOR-MCU80002,MIPS32,32,2048,4,4.0,"CAN, USB, UART, PWM, Ethernet",1.84,0.21,95,2.5,BGA,2021,Industrial
Microchip,MIC-MCU80003,ARM Cortex-M3,48,128,256,8.0,"Ethernet, USB, PWM, SPI, I2C",11.92,1.091,12,5.0,LQFP,2021,Consumer
Renesas,REN-MCU80004,ARM Cortex-M4,48,16,8,2.0,"USB, Ethernet, SPI, I2C, CAN",9.82,1.098,43,5.0,TSSOP,2021,IoT
STMicroelectronics,STM-MCU80005,ARM Cortex-M4,48,32,128,1.0,"PWM, USB, UART, Ethernet, CAN",6.36,0.838,13,1.8,QFN,2019,Wearable
Nordic Semiconductor,NOR-MCU80006,RISC-V,48,64,2,2.0,"USB, SPI, UART, PWM, I2C",3.67,0.331,65,2.5,QFN,2019,Industrial
Analog Devices,ANA-MCU80007,RISC-V,48,2048,4,0.5,"CAN, PWM, Ethernet",1.19,1.387,26,2.5,TSSOP,2008,Industrial
Texas Instruments,TEX-MCU80008,MIPS32,168,32,2,4.0,"PWM, I2C, UART, USB, SPI",7.21,1.446,96,1.8,LQFP,2015,Industrial
Microchip,MIC-MCU80009,AVR 8-bit,120,2048,32,0.5,"CAN, PWM, USB, Ethernet, UART",4.64,0.129,35,5.0,LQFP,2011,Industrial
Texas Instruments,TEX-MCU80010,ARM Cortex-M4,168,64,512,2.0,"UART, SPI, CAN, USB",3.83,1.101,77,2.5,TSSOP,2015,IoT
Renesas,REN-MCU80011,8051,32,16,64,8.0,"Ethernet, CAN, USB, UART",7.4,1.231,63,5.0,LQFP,2019,IoT
Microchip,MIC-MCU80012,RISC-V,200,32,1,4.0,"CAN, PWM, I2C, SPI, Ethernet",9.25,0.425,93,2.5,SOIC,2013,Automotive
Analog Devices,ANA-MCU80013,ARM Cortex-M7,200,128,128,1.0,"UART, PWM, I2C, SPI",2.9,0.061,25,1.8,SOIC,2020,Industrial
Infineon,INF-MCU80014,RISC-V,32,16,512,8.0,"SPI, CAN, I2C, UART, USB",9.37,0.668,28,3.3,LQFP,2010,Medical
Analog Devices,ANA-MCU80015,RISC-V,120,32,32,1.0,"SPI, Ethernet, PWM",3.06,0.739,19,1.8,SOIC,2008,Industrial
Texas Instruments,TEX-MCU80016,RISC-V,168,16,128,2.0,"UART, I2C",8.32,0.648,97,5.0,SOIC,2009,IoT
Renesas,REN-MCU80017,ARM Cortex-M0,168,256,32,4.0,"I2C, SPI, CAN",2.67,0.47,12,2.5,DIP,2021,Industrial
STMicroelectronics,STM-MCU80018,ARM Cortex-M0,480,256,128,0.5,"I2C, CAN, Ethernet, SPI",5.94,0.258,32,1.8,BGA,2005,Consumer
Texas Instruments,TEX-MCU80019,AVR 8-bit,32,16,2,0.0,"PWM, Ethernet, USB, CAN, UART",1.26,1.378,84,3.3,DIP,2020,Wearable
Analog Devices,ANA-MCU80020,ARM Cortex-M7,168,2048,128,2.0,"PWM, SPI, UART, I2C",2.53,0.051,93,3.3,BGA,2018,Industrial
Texas Instruments,TEX-MCU80021,RISC-V,32,16,2,1.0,"CAN, Ethernet, USB",3.35,0.663,36,1.8,DIP,2010,Wearable
Infineon,INF-MCU80022,AVR 8-bit,8,32,512,2.0,"SPI, I2C, UART",8.98,1.289,71,5.0,QFN,2007,Wearable
Silicon Labs,SIL-MCU80023,ARM Cortex-M0,72,1024,32,4.0,"PWM, Ethernet, I2C",9.42,0.647,83,5.0,TSSOP,2005,Industrial
Renesas,REN-MCU80024,ARM Cortex-M7,480,32,1,1.0,"PWM, SPI, UART, I2C",5.27,1.29,57,2.5,BGA,2011,IoT
Nordic Semiconductor,NOR-MCU80025,ARM Cortex-M7,16,256,4,0.0,"CAN, UART, Ethernet, I2C",1.73,0.283,97,3.3,LQFP,2012,Consumer
STMicroelectronics,STM-MCU80026,ARM Cortex-M4,16,32,64,2.0,"USB, CAN",2.55,0.869,9,2.5,LQFP,2021,Wearable
Silicon Labs,SIL-MCU80027,8051,120,512,2,0.0,"CAN, Ethernet, UART",6.0,0.959,31,5.0,SOIC,2020,IoT
STMicroelectronics,STM-MCU80028,ARM Cortex-M7,480,1024,16,0.0,"SPI, PWM, UART, I2C",0.69,0.765,9,3.3,SOIC,2014,IoT
Nordic Semiconductor,NOR-MCU80029,ARM Cortex-M3,120,512,2,1.0,"USB, SPI, I2C",7.5,0.228,60,2.5,BGA,2011,Consumer
Renesas,REN-MCU80030,ARM Cortex-M4,240,1024,1,8.0,"UART, SPI, CAN, PWM, USB",1.86,1.007,50,2.5,TSSOP,2013,Industrial
Renesas,REN-MCU80031,RISC-V,120,64,64,0.0,"USB, CAN",0.92,1.432,15,3.3,BGA,2014,Industrial
Nordic Semiconductor,NOR-MCU80032,AVR 8-bit,240,2048,4,8.0,"CAN, PWM, USB, I2C",1.53,0.572,34,5.0,SOIC,2008,Industrial
NXP,NXP-MCU80033,ARM Cortex-M0,168,64,1,0.5,"I2C, CAN, SPI, PWM",3.67,0.902,78,5.0,QFN,2021,Wearable
Nordic Semiconductor,NOR-MCU80034,8051,32,16,32,2.0,"USB, CAN, UART, I2C",10.34,0.364,51,2.5,LQFP,2010,Medical
Texas Instruments,TEX-MCU80035,AVR 8-bit,200,64,16,0.5,"PWM, CAN, UART, SPI",4.49,0.907,6,3.3,BGA,2021,IoT
STMicroelectronics,STM-MCU80036,ARM Cortex-M4,48,1024,128,4.0,"I2C, UART, PWM",11.64,0.257,41,3.3,LQFP,2013,Industrial
NXP,NXP-MCU80037,ARM Cortex-M7,168,2048,32,0.5,"CAN, PWM, SPI, I2C, UART",7.96,1.474,36,5.0,LQFP,2015,Medical
NXP,NXP-MCU80038,AVR 8-bit,8,32,16,8.0,"CAN, I2C",3.5,0.398,17,5.0,DIP,2009,Industrial
STMicroelectronics,STM-MCU80039,ARM Cortex-M7,32,2048,2,0.0,"SPI, USB",6.83,1.119,28,2.5,LQFP,2010,Wearable
STMicroelectronics,STM-MCU80040,ARM Cortex-M7,16,512,512,1.0,"Ethernet, PWM, UART, CAN",4.97,0.084,78,5.0,TSSOP,2018,Consumer
NXP,NXP-MCU80041,ARM Cortex-M4,32,128,32,2.0,"UART, PWM, Ethernet, CAN",4.33,0.094,37,2.5,QFN,2010,Industrial
Renesas,REN-MCU80042,ARM Cortex-M4,200,64,8,0.5,"Ethernet, USB, PWM, SPI, UART",2.19,1.29,52,5.0,LQFP,2020,Automotive
NXP,NXP-MCU80043,RISC-V,168,1024,8,2.0,"USB, I2C, CAN, UART",8.77,0.166,40,2.5,LQFP,2016,Automotive
Espressif,ESP-MCU80044,8051,480,32,128,4.0,"I2C, USB, CAN",9.43,0.967,58,3.3,TSSOP,2009,Consumer
Infineon,INF-MCU80045,ARM Cortex-M4,480,2048,1,1.0,"USB, Ethernet",6.64,0.104,93,5.0,TSSOP,2009,Wearable
Microchip,MIC-MCU80046,ARM Cortex-M4,240,32,256,1.0,"Ethernet, PWM",3.99,0.43,24,5.0,QFN,2010,IoT
Renesas,REN-MCU80047,RISC-V,480,64,64,0.5,"UART, USB, CAN, Ethernet, I2C",10.89,1.15,79,1.8,TSSOP,2023,Wearable
NXP,NXP-MCU80048,ARM Cortex-M7,72,2048,16,8.0,"SPI, Ethernet",1.53,0.2,38,3.3,BGA,2009,Industrial
Silicon Labs,SIL-MCU80049,RISC-V,8,32,4,0.5,"PWM, Ethernet, CAN, I2C, SPI",4.77,0.32,76,5.0,TSSOP,2023,Medical
Texas Instruments,TEX-MCU80050,ARM Cortex-M3,168,64,8,0.0,"I2C, Ethernet, PWM, UART",5.81,0.672,10,5.0,SOIC,2019,Automotive
Renesas,REN-MCU80051,RISC-V,16,512,4,8.0,"Ethernet, SPI, I2C, UART",4.19,1.158,81,2.5,SOIC,2007,Automotive
Microchip,MIC-MCU80052,AVR 8-bit,168,32,32,0.0,"SPI, USB, I2C",1.37,1.479,49,5.0,BGA,2022,IoT
Renesas,REN-MCU80053,AVR 8-bit,480,1024,32,2.0,"I2C, PWM, Ethernet, SPI, CAN",3.71,0.373,35,2.5,SOIC,2006,Medical
Espressif,ESP-MCU80054,ARM Cortex-M4,72,16,8,8.0,"SPI, USB",7.6,0.089,93,5.0,BGA,2007,Automotive
Silicon Labs,SIL-MCU80055,ARM Cortex-M3,480,2048,4,0.0,"USB, I2C, CAN, Ethernet",3.69,1.186,15,5.0,TSSOP,2018,IoT
