Producator,Model,Arhitectura,Frecventa_MHz,Flash_KB,RAM_KB,EEPROM_KB,Magistrale,Pret_USD,Consum_W,IO_Pins,Tensiune_V,Pachet,An_Lansare,Aplicatie
Microchip,MIC-MCU00000,ARM Cortex-M0,8,16,1,0.0,"SPI, USB, PWM, I2C, Ethernet",8.12,1.052,33,1.8,SOIC,2010,Industrial
Renesas,REN-MCU00001,MIPS32,8,1024,8,2.0,"USB, CAN, SPI, Ethernet",8.94,1.013,29,5.0,BGA,2021,Medical
Silicon Labs,SIL-MCU00002,RISC-V,120,1024,16,8.0,"I2C, USB",2.51,0.414,81,2.5,LQFP,2006,Industrial
Nordic Semiconductor,NOR-MCU00003,MIPS32,240,2048,2,8.0,"SPI, Ethernet, USB",0.83,1.006,20,2.5,SOIC,2009,Automotive
Nordic Semiconductor,NOR-MCU00004,8051,200,2048,4,4.0,"I2C, CAN, UART, Ethernet",11.57,1.181,93,1.8,QFN,2007,IoT
Silicon Labs,SIL-MCU00005,ARM Cortex-M3,200,256,512,4.0,"Ethernet, PWM, I2C, UART",9.89,0.176,25,1.8,BGA,2006,Industrial
Analog Devices,ANA-MCU00006,ARM Cortex-M4,72,64,128,4.0,"I2C, SPI, CAN, USB",6.91,0.815,10,1.8,TSSOP,2012,Consumer
Silicon Labs,SIL-MCU00007,ARM Cortex-M7,480,128,2,8.0,"PWM, Ethernet",4.06,0.37,29,5.0,QFN,2018,Medical
Microchip,MIC-MCU00008,ARM Cortex-M7,32,128,1,0.5,"SPI, UART, CAN, PWM",3.87,0.582,42,2.5,TSSOP,2024,Medical
Infineon,INF-MCU00009,ARM Cortex-M4,200,512,16,1.0,"CAN, USB, SPI",11.75,1.331,52,2.5,TSSOP,2005,Consumer
Espressif,ESP-MCU00010,MIPS32,48,512,512,2.0,"UART, PWM, Ethernet, CAN",1.34,0.702,80,3.3,TSSOP,2024,Wearable
Analog Devices,ANA-MCU00011,ARM Cortex-M3,48,512,2,0.0,"SPI, Ethernet, USB, I2C, CAN",8.69,0.476,36,5.0,QFN,2005,Medical
STMicroelectronics,STM-MCU00012,ARM Cortex-M3,480,2048,512,8.0,"CAN, USB",9.12,1.481,84,3.3,QFN,2019,Industrial
Texas Instruments,TEX-MCU00013,ARM Cortex-M0,72,128,1,0.5,"USB, SPI, PWM, Ethernet, UART",1.96,1.123,69,3.3,BGA,2016,Medical
Analog Devices,ANA-MCU00014,ARM Cortex-M3,200,512,16,8.0,"Ethernet, CAN",11.6,0.546,87,2.5,TSSOP,2019,Wearable
Silicon Labs,SIL-MCU00015,ARM Cortex-M3,32,128,4,8.0,"SPI, PWM",10.0,0.299,34,3.3,SOIC,2023,Automotive
Analog Devices,ANA-MCU00016,MIPS32,168,2048,2,4.0,"Ethernet, SPI",3.88,0.279,87,3.3,SOIC,2021,Wearable
Espressif,ESP-MCU00017,8051,16,512,8,0.5,"CAN, USB, PWM, Ethernet",0.76,0.345,65,1.8,QFN,2015,Industrial
Infineon,INF-MCU00018,AVR 8-bit,8,2048,64,2.0,"CAN, SPI, USB, I2C",9.19,0.791,88,5.0,TSSOP,2015,Medical
Texas Instruments,TEX-MCU00019,ARM Cortex-M3,48,1024,128,8.0,"I2C, SPI",8.26,1.137,69,3.3,TSSOP,2011,Medical
Renesas,REN-MCU00020,ARM Cortex-M0,168,1024,32,8.0,"Ethernet, CAN, USB, SPI",5.73,0.91,93,3.3,LQFP,2006,Wearable
NXP,NXP-MCU00021,RISC-V,240,1024,1,1.0,"I2C, PWM, USB, UART",2.43,0.236,12,2.5,QFN,2014,IoT
Texas Instruments,TEX-MCU00022,ARM Cortex-M4,200,1024,256,1.0,"I2C, UART",11.55,1.128,86,1.8,SOIC,2016,Medical
Analog Devices,ANA-MCU00023,ARM Cortex-M0,48,32,64,2.0,"PWM, Ethernet, CAN, I2C",9.22,1.015,72,3.3,QFN,2010,Consumer
Espressif,ESP-MCU00024,ARM Cortex-M3,48,1024,16,0.5,"USB, Ethernet",6.82,0.555,48,1.8,SOIC,2016,Wearable
NXP,NXP-MCU00025,ARM Cortex-M7,200,128,64,8.0,"PWM, I2C, Ethernet",10.39,0.638,40,1.8,LQFP,2012,IoT
Infineon,INF-MCU00026,MIPS32,120,2048,32,2.0,"SPI, Ethernet, PWM",5.81,1.072,99,3.3,DIP,2021,Industrial
Infineon,INF-MCU00027,RISC-V,16,32,512,4.0,"UART, PWM, Ethernet, SPI",7.73,1.334,32,2.5,DIP,2010,Automotive
Microchip,MIC-MCU00028,8051,48,512,2,0.5,"CAN, SPI, I2C",10.82,0.324,12,3.3,LQFP,2005,Consumer
Renesas,REN-MCU00029,AVR 8-bit,72,128,8,0.5,"USB, SPI, CAN, Ethernet, UART",3.45,1.462,45,2.5,SOIC,2010,Wearable
Infineon,INF-MCU00030,AVR 8-bit,8,64,64,4.0,"I2C, CAN, SPI",11.49,0.761,48,5.0,TSSOP,2009,Industrial
STMicroelectronics,STM-MCU00031,8051,200,32,256,4.0,"UART, USB, CAN, Ethernet, PWM",4.79,1.248,78,3.3,LQFP,2007,IoT
Nordic Semiconductor,NOR-MCU00032,MIPS32,120,256,2,0.5,"Ethernet, PWM, SPI, CAN",4.21,0.76,72,3.3,QFN,2021,Consumer
Espressif,ESP-MCU00033,ARM Cortex-M7,240,128,32,0.5,"CAN, PWM, I2C",3.62,0.032,51,2.5,TSSOP,2008,Automotive
Nordic Semiconductor,NOR-MCU00034,ARM Cortex-M3,168,128,1,1.0,"UART, Ethernet",5.86,0.222,72,3.3,QFN,2009,Medical
Microchip,MIC-MCU00035,ARM Cortex-M7,120,256,1,0.0,"UART, Ethernet",4.91,0.316,12,1.8,QFN,2020,Wearable
Infineon,INF-MCU00036,RISC-V,16,512,4,0.5,"SPI, CAN, UART",10.51,0.182,11,5.0,SOIC,2015,Automotive
Silicon Labs,SIL-MCU00037,MIPS32,16,64,64,2.0,"UART, USB, PWM",2.35,0.415,96,2.5,LQFP,2019,Consumer
Espressif,ESP-MCU00038,MIPS32,200,2048,512,8.0,"UART, Ethernet",2.7,0.399,55,3.3,BGA,2024,Medical
Analog Devices,ANA-MCU00039,AVR 8-bit,200,32,128,0.5,"SPI, Ethernet",4.97,1.25,11,1.8,QFN,2005,Consumer
Silicon Labs,SIL-MCU00040,ARM Cortex-M4,200,16,64,2.0,"USB, CAN, Ethernet",4.3,0.378,74,3.3,SOIC,2020,Industrial
NXP,NXP-MCU00041,AVR 8-bit,48,64,32,8.0,"Ethernet, PWM, USB",7.7,0.309,18,3.3,BGA,2008,Medical
STMicroelectronics,STM-MCU00042,RISC-V,32,1024,256,0.0,"USB, SPI",6.22,0.752,60,5.0,SOIC,2011,Medical
Microchip,MIC-MCU00043,RISC-V,32,16,64,0.0,"I2C, USB, UART, CAN, Ethernet",11.46,1.402,50,1.8,LQFP,2014,Medical
STMicroelectronics,STM-MCU00044,MIPS32,8,1024,128,0.5,"USB, PWM, I2C, Ethernet",9.86,0.553,42,3.3,SOIC,2010,Automotive
