Producator,Model,Arhitectura,Frecventa_MHz,Flash_KB,RAM_KB,EEPROM_KB,Magistrale,Pret_USD,Consum_W,IO_Pins,Tensiune_V,Pachet,An_Lansare,Aplicatie
Infineon,INF-MCU75000,ARM Cortex-M0,32,2048,128,1.0,"Ethernet, PWM, UART, CAN, SPI",3.06,0.659,38,1.8,QFN,2021,Industrial
Renesas,REN-MCU75001,8051,32,128,2,4.0,"SPI, CAN",9.59,0.088,30,1.8,LQFP,2009,Automotive
Texas Instruments,TEX-MCU75002,ARM Cortex-M0,8,512,8,0.5,"I2C, USB, UART, CAN, SPI",4.81,0.459,95,3.3,LQFP,2017,Medical
NXP,NXP-MCU75003,AVR 8-bit,72,512,512,4.0,"USB, CAN, PWM",8.03,1.297,91,1.8,TSSOP,2013,Consumer
Nordic Semiconductor,NOR-MCU75004,MIPS32,240,256,2,1.0,"SPI, USB, UART",9.97,0.378,30,2.5,SOIC,2009,Medical
Renesas,REN-MCU75005,ARM Cortex-M4,120,1024,8,2.0,"USB, PWM, UART",6.18,0.626,20,1.8,QFN,2019,Industrial
Texas Instruments,TEX-MCU75006,ARM Cortex-M7,240,256,8,2.0,"SPI, I2C, USB, PWM, Ethernet",0.53,1.229,43,2.5,SOIC,2023,Wearable
Renesas,REN-MCU75007,ARM Cortex-M0,200,32,1,0.5,"SPI, UART, PWM",8.92,0.165,30,1.8,LQFP,2006,Wearable
Microchip,MIC-MCU75008,8051,200,256,1,1.0,"CAN, SPI, Ethernet, I2C, PWM",7.99,0.619,37,2.5,DIP,2023,Automotive
NXP,NXP-MCU75009,RISC-V,240,64,32,0.0,"Ethernet, UART, CAN",5.12,0.364,84,1.8,DIP,2012,Wearable
Nordic Semiconductor,NOR-MCU75010,8051,8,256,128,8.0,"USB, CAN, PWM",1.68,0.88,85,5.0,TSSOP,2017,Consumer
Renesas,REN-MCU75011,ARM Cortex-M3,32,32,4,8.0,"I2C, PWM, CAN",10.19,0.615,46,1.8,QFN,2017,IoT
Microchip,MIC-MCU75012,ARM Cortex-M7,72,16,1,1.0,"CAN, Ethernet",10.8,0.07,94,3.3,LQFP,2018,Wearable
Microchip,MIC-MCU75013,ARM Cortex-M4,200,64,256,0.5,"CAN, UART, USB, I2C",4.8,0.641,63,2.5,QFN,2012,Industrial
Microchip,MIC-MCU75014,ARM Cortex-M3,48,64,512,2.0,"USB, UART, Ethernet",4.05,0.689,23,2.5,SOIC,2023,Medical
Infineon,INF-MCU75015,ARM Cortex-M3,32,32,64,4.0,"Ethernet, USB",10.17,1.149,21,2.5,TSSOP,2005,Consumer
STMicroelectronics,STM-MCU75016,ARM Cortex-M0,168,32,1,8.0,"UART, Ethernet",7.78,0.243,23,2.5,DIP,2018,Medical
Renesas,REN-MCU75017,ARM Cortex-M4,32,128,32,2.0,"USB, SPI, UART, CAN",3.52,0.07,43,2.5,SOIC,2017,Consumer
Espressif,ESP-MCU75018,8051,240,32,2,0.0,"CAN, Ethernet, PWM, USB, UART",12.0,1.112,40,3.3,QFN,2024,Wearable
Analog Devices,ANA-MCU75019,MIPS32,200,256,64,1.0,"SPI, CAN, Ethernet, USB, PWM",7.49,0.186,84,2.5,TSSOP,2008,Consumer
Renesas,REN-MCU75020,MIPS32,32,16,4,0.5,"SPI, CAN",2.8,0.137,7,1.8,BGA,2016,Wearable
NXP,NXP-MCU75021,ARM Cortex-M3,8,256,8,8.0,"SPI, Ethernet, CAN",7.28,0.38,7,1.8,TSSOP,2023,Medical
STMicroelectronics,STM-MCU75022,ARM Cortex-M0,480,16,32,0.0,"UART, I2C, CAN, USB",9.18,0.799,93,1.8,TSSOP,2017,Automotive
Texas Instruments,TEX-MCU75023,8051,168,32,128,8.0,"Ethernet, UART, SPI",2.58,0.416,29,5.0,QFN,2012,Automotive
Analog Devices,ANA-MCU75024,AVR 8-bit,240,128,256,2.0,"USB, I2C, UART",3.77,0.244,81,3.3,TSSOP,2007,Automotive
Silicon Labs,SIL-MCU75025,ARM Cortex-M4,120,16,512,8.0,"UART, Ethernet, CAN, USB, I2C",7.0,0.39,64,2.5,SOIC,2020,Automotive
Nordic Semiconductor,NOR-MCU75026,ARM Cortex-M3,480,512,64,1.0,"Ethernet, PWM",5.27,1.265,15,3.3,TSSOP,2020,Medical
Infineon,INF-MCU75027,RISC-V,240,2048,8,0.0,"CAN, USB, PWM, SPI",5.77,0.978,73,5.0,DIP,2019,Wearable
Texas Instruments,TEX-MCU75028,RISC-V,16,1024,8,1.0,"I2C, UART",6.36,0.366,16,3.3,TSSOP,2022,IoT
Silicon Labs,SIL-MCU75029,AVR 8-bit,168,2048,8,0.5,"CAN, USB, PWM",5.22,1.238,66,5.0,TSSOP,2011,Medical
Texas Instruments,TEX-MCU75030,MIPS32,48,16,256,8.0,"USB, SPI, I2C, Ethernet",3.21,1.435,68,5.0,SOIC,2017,Wearable
Silicon Labs,SIL-MCU75031,AVR 8-bit,48,32,64,4.0,"PWM, I2C, Ethernet",5.23,0.229,31,3.3,TSSOP,2018,IoT
Microchip,MIC-MCU75032,ARM Cortex-M3,32,256,4,2.0,"PWM, CAN, USB",8.52,0.569,74,3.3,TSSOP,2005,Wearable
NXP,NXP-MCU75033,ARM Cortex-M3,72,64,128,0.5,"CAN, SPI, PWM, Ethernet",1.82,0.188,71,5.0,SOIC,2023,Wearable
